	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-119	73.625	71.0	4.914528097212768	0.9411888648878123	0.9938162544169611
100_H-119	71.1	69.0	4.856244216090495	0.9401880219183838	0.994142259414226
101_H-119	73.0	72.0	4.899507617959731	0.9382108891996368	0.9965307892454467
102_H-119	71.36363636363636	70.0	4.849698967136651	0.9391986111111111	0.995
103_H-119	70.125	70.0	4.94010844623425	0.9394597222222222	0.9983333333333333
104_H-119	69.08333333333333	69.0	4.9371131744907215	0.9436742618732973	0.998324958123953
105_H-119	75.5	75.0	4.951782114203178	0.9389155861007454	0.9965457685664939
106_H-119	70.0	69.0	4.853100928669819	0.9388406238886349	0.9958847736625515
107_H-119	68.5	68.0	4.731368695138699	0.9308064107978459	0.9963201471941122
108_H-119	73.66666666666667	73.0	4.870305057707792	0.9385199259287836	0.9968944099378882
109_H-119	69.0	68.0	4.828590201801045	0.9374745840312357	0.9957841483979764
10_H-119	73.0	72.0	4.8942637976592245	0.9376816855468374	0.9958540630182421
110_H-119	71.33333333333333	71.0	4.87257248518147	0.9370166618787705	0.997457627118644
111_H-119	74.9090909090909	73.0	4.8417718634704885	0.935495834453104	0.9942622950819672
112_H-119	67.0	66.0	4.8028166047555665	0.9375131069193496	0.9966777408637874
113_H-119	66.0909090909091	66.0	4.8024614436035336	0.9363502125800678	0.9983566146261298
114_H-119	67.3	67.0	4.862150649736337	0.9392648782566999	0.9972627737226277
115_H-119	67.11111111111111	67.0	4.996529060011707	0.9453	0.9983333333333333
116_H-119	65.1	65.0	4.842771408807141	0.9362209856576788	0.9982547993019197
117_H-119	71.1	69.0	4.922553465712083	0.9444809917355372	0.9936363636363637
118_H-119	68.625	66.0	4.81261433225316	0.9394299038565151	0.9939446366782007
119_H-119	73.0	73.0	4.985190130179115	0.9416446639768996	0.9992138364779874
11_H-119	69.66666666666667	69.0	4.854267308207541	0.9383943101635821	0.9965126416739319
120_H-119	72.375	72.0	4.8253988325269175	0.9349304145565435	0.9975845410628019
121_H-119	69.85714285714286	69.0	4.798037161811916	0.9345177588286965	0.996607294317218
122_H-119	75.11111111111111	74.0	4.929088432235526	0.9398337925474454	0.9958298582151793
123_H-119	68.33333333333333	68.0	4.8161761559549285	0.9358300944942806	0.9974248927038627
124_H-119	70.5	70.0	4.9134547372945265	0.9392555833378875	0.9966301600673968
125_H-119	72.33333333333333	70.0	4.693130673203905	0.9288510701545779	0.993103448275862
126_H-119	69.08333333333333	69.0	4.817808025125887	0.9352665766441893	0.9983179142136249
127_H-119	70.27272727272727	70.0	4.9249739874090555	0.9419593340084876	0.9973958333333334
128_H-119	70.76923076923077	70.0	4.803882421478828	0.9358938363132374	0.9957301451750641
129_H-119	73.8	71.0	4.775004827520648	0.9332018433720056	0.9933166248955723
12_H-119	70.125	70.0	4.887176160164192	0.9398146738242696	0.9983361064891847
130_H-119	69.875	68.0	4.897197127290485	0.9388058035714286	0.9946428571428572
131_H-119	74.54545454545455	72.0	4.920988537422503	0.9395682227599544	0.9928952042628775
132_H-119	71.54545454545455	71.0	4.892153812806024	0.9345230818132916	0.9965034965034965
133_H-119	68.42857142857143	67.0	4.883243851027972	0.9423224383326623	0.99581589958159
134_H-119	68.11111111111111	67.0	4.840528367706959	0.939651112665382	0.9959250203748982
135_H-119	71.9090909090909	71.0	4.982620165711371	0.9449300071280441	0.995507637017071
136_H-119	72.2	71.0	4.915882497653032	0.9392166112842409	0.9966804979253112
137_H-119	67.75	67.0	4.828419492192829	0.9353873998295096	0.9974204643164231
138_H-119	73.875	72.0	4.946601333124338	0.9413779813487122	0.9946949602122016
139_H-119	69.375	69.0	4.901755347266112	0.9411302795954789	0.9975609756097561
13_H-119	75.54545454545455	75.0	4.971105682567651	0.9429395366481236	0.9968404423380727
140_H-119	71.0	70.0	4.796084019246194	0.933101689080847	0.9957118353344768
141_H-119	71.06666666666666	71.0	4.786302855354144	0.9343765483536778	0.9983221476510067
142_H-119	65.0	65.0	4.750960909441516	0.9290280755307129	0.9991235758106923
143_H-119	68.0	68.0	4.909863314774621	0.9399330756904515	1.0
144_H-119	69.375	69.0	4.849011711058612	0.9380001288181548	0.9973730297723292
145_H-119	69.3	69.0	4.866930321699788	0.9345560358070761	0.9974093264248705
146_H-119	70.0	70.0	4.957126053305023	0.943104075307809	1.0
147_H-119	68.11111111111111	67.0	4.77078952742984	0.9348149585670205	0.9955947136563876
148_H-119	70.14285714285714	70.0	5.0115353952673845	0.9458613120976487	0.9983179142136249
149_H-119	76.54545454545455	74.0	4.865686671735701	0.9375332272007619	0.9931682322801024
14_H-119	65.85714285714286	65.0	4.814850775388202	0.9382060247444863	0.9965034965034965
150_H-119	69.33333333333333	69.0	4.8707777552485965	0.938304163729898	0.997398091934085
151_H-119	63.27272727272727	63.0	4.806685757619293	0.9387803666143844	0.9974048442906575
152_H-119	72.33333333333333	70.0	4.795988168192376	0.9339670035671819	0.9939655172413793
153_H-119	73.6	68.0	4.859124506880045	0.9407084667339152	0.9933774834437086
154_H-119	71.0	68.0	4.8899491485016	0.9421005785153491	0.993897122929381
155_H-119	67.33333333333333	67.0	4.805754149611679	0.9369757538876298	0.997398091934085
156_H-119	71.25	70.0	4.964374922547058	0.9459428049221521	0.9957519116397621
157_H-119	73.14285714285714	71.0	4.949557890351851	0.9408414972931808	0.9946476360392507
158_H-119	67.875	66.0	4.860493957678241	0.9396609757119995	0.9945602901178604
159_H-119	70.0	67.0	4.873516996938169	0.9392377057804799	0.9949409780775716
15_H-119	66.27272727272727	66.0	4.800237858515446	0.93797512132046	0.9974293059125964
160_H-119	71.42857142857143	70.0	4.86709438014886	0.93697664	0.996
161_H-119	68.14285714285714	68.0	4.9609928685346105	0.9435896137889243	0.998274374460742
162_H-119	65.0	65.0	4.7414355712748035	0.9331362951330404	0.9991103202846975
