	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-122	28.6	23.0	1.915904618196208	0.6919359138463292	0.9942938659058488
100_O-122	17.0	17.0	1.805610454937943	0.6825347970315653	0.9993502274204029
101_O-122	21.75	18.0	1.843046150325043	0.6853425194692393	0.9958932238193019
102_O-122	26.2	19.0	1.7725191353842793	0.6770850584363473	0.9943145925457991
103_O-122	21.5	19.0	1.821035451947105	0.6840910391500147	0.9960343688037012
104_O-122	28.0	24.0	1.8808361204000603	0.6871073720099867	0.9948186528497409
105_O-122	23.75	20.0	1.9008198022466891	0.6922057866129692	0.9961089494163424
106_O-122	18.125	18.0	1.8217289899830433	0.6824497053607782	0.998681608437706
107_O-122	16.0	15.0	1.8243380642742797	0.6847362478602388	0.9979094076655052
108_O-122	17.857142857142858	17.0	1.8286759281468365	0.6832301375446543	0.997363216875412
109_O-122	18.428571428571427	18.0	1.8624499695816399	0.6856341126226365	0.9979494190020506
10_O-122	24.666666666666668	23.0	1.8995406554959728	0.6890767487674672	0.9961661341853035
110_O-122	21.5	19.0	1.8461437351462346	0.6846349899243854	0.9960578186596584
111_O-122	23.0	21.0	1.9165704341247904	0.6921151612113356	0.9966078697421981
112_O-122	17.75	17.0	1.7889310709828046	0.6804914016416467	0.9972067039106145
113_O-122	26.6	21.0	1.8330910299912273	0.6818868784233444	0.994583615436696
114_O-122	21.0	19.0	1.8215162248791048	0.6807964202823658	0.9965682910089224
115_O-122	19.5	19.0	1.8497942039391717	0.6850639939443028	0.9980694980694981
116_O-122	18.2	17.0	1.8288121062606868	0.6832154623207671	0.9973279893119572
117_O-122	17.5	17.0	1.842557192835783	0.6861443116423196	0.99800796812749
118_O-122	16.5	16.0	1.7682479314574053	0.6741228958108259	0.9979367262723521
119_O-122	24.0	19.0	1.865990019679897	0.6865432065238476	0.9958217270194986
11_O-122	22.5	20.0	1.8784295587166655	0.6874762930154117	0.99581589958159
120_O-122	28.5	25.0	1.9734899503673766	0.696078914225809	0.9953580901856764
121_O-122	25.0	22.0	1.8967587954214222	0.6900525612263702	0.9961215255332903
122_O-122	30.0	23.0	1.9068264602672775	0.6898718576404779	0.9951287404314544
123_O-122	22.0	17.0	1.8278693265254637	0.6830183115338883	0.996551724137931
124_O-122	24.0	21.0	1.816760129277464	0.681846199121326	0.9954218443427076
125_O-122	23.5	20.0	1.8222229549383377	0.6819802117488303	0.9954486345903771
126_O-122	13.333333333333334	13.0	1.800320891139664	0.6830602963470096	0.9986013986013986
127_O-122	17.375	17.0	1.8151911830015561	0.6829970159627377	0.9980026631158455
128_O-122	27.5	24.0	1.9204904552700857	0.6904540512865748	0.99527983816588
129_O-122	17.6	17.0	1.9003245084740203	0.6914597290821067	0.9979020979020979
12_O-122	26.6	21.0	1.848019025750062	0.6855802420154731	0.9943661971830986
130_O-122	18.5	16.0	1.7908340986339935	0.6805627720106329	0.9965682910089224
131_O-122	19.428571428571427	18.0	1.849443996977495	0.6866869021455678	0.9965108164689462
132_O-122	19.0	18.0	1.823231086172814	0.6847346242270996	0.9973527465254798
133_O-122	32.25	21.0	1.8119602817545568	0.6823958199388034	0.9932111337406653
134_O-122	25.0	21.0	1.841632801773819	0.6840426104529684	0.9948914431673053
135_O-122	20.75	20.0	1.9025370565027806	0.6898767943643668	0.9972826086956522
136_O-122	20.75	17.0	1.8195726662785068	0.684113414165879	0.9959239130434783
137_O-122	20.272727272727273	20.0	1.8187657886762776	0.6805456173170286	0.997968855788761
138_O-122	19.125	19.0	1.8367737621369455	0.6825950640150711	0.9987333755541482
139_O-122	22.5	20.0	1.8789016430863406	0.6880131322000369	0.9957657021877205
13_O-122	26.625	24.0	1.943087010162923	0.6919160853534769	0.9949820788530466
140_O-122	31.857142857142858	24.0	1.8103485043113816	0.6793045986220156	0.9930379746835443
141_O-122	20.0	18.0	1.8489538745404686	0.6865219111660937	0.9966865473823724
142_O-122	17.5	17.0	1.8496950403457277	0.6845706750988813	0.9979181124219292
143_O-122	23.75	20.0	1.829489302301258	0.6831803767975791	0.9962335216572504
