sample	group	chao1	observed_otus	shannon	simpson	goods_coverage
H-10	NW	77.4841	76.2308	5.67682	0.971947	0.998363
H-118	NW	34.3934	31.014	3.39355	0.830221	0.99845
H-119	NW	69.9751	68.8771	4.84242	0.936504	0.995356
H-120	NW	25.8293	22.2727	3.53032	0.865292	0.973465
H-193	NW	40.1057	37.8272	3.59324	0.898703	0.997922
H-314	NW	43.0416	40.4496	4.73874	0.951602	0.983068
O-121	O	37.7315	33.4895	3.25934	0.869195	0.998017
O-122	O	22.2036	19.3367	1.84189	0.683784	0.995389
O-123	O	81.8158	79.9061	4.95793	0.907454	0.998238
O-152	O	115.321	109.72	5.32203	0.941305	0.998778
O-39	O	49.6207	45.2937	3.14225	0.859513	0.997263
O-418	O	14.5271	12.8462	3.11259	0.842036	0.943477
O-420	O	18.7394	17.049	3.63117	0.899807	0.976173
O-434	O	13.8126	13.3986	3.36967	0.888865	0.990523
O-445	O	11.3128	10.3966	3.0463	0.853466	0.933622
OMC-124	OMS	1.88212	1.88012	0.686662	0.316601	0.95111
OMC-125	OMS	8.20122	8.01099	2.61149	0.799651	0.975712
OMC-126	OMS	5.58472	5.46553	1.3229	0.437969	0.985121
OMC-288	OMS	44.4341	43.7572	4.97023	0.957698	0.995601
OMC-446	OMS	34.2325	33.3227	3.61628	0.894011	0.998545
OMC-55	OMS	5.67553	4.999	2.01424	0.70317	0.860421
