sample	sum_crasslike	average_crasslike	Bacilli
H-10	-2.189095719	-4.494446935	-4.050609993
H-118	-2.021037323	-4.326388054	-3.567869659
H-119	-2.781014604	-5.086366258	-3.551875189
H-120	-3.55729631	-5.862647697	-3.311098094
H-193	-2.229990053	-4.535342286	-3.844818878
H-314	-3.285191415	-5.590542713	-3.788361606
O-121	-1.989155094	-4.2945065	-3.804244214
O-122	-2.672203342	-4.977554543	-2.067730645
O-123	-2.240440068	-4.545791265	-1.858616301
O-39	-2.185086819	-4.490438435	-3.656865265
O-418	-4.096910013	-6.402260948	-2.781784688
O-420	-3.755192929	-6.06054422	-3.389724272
O-434	-3.70208324	-6.00743449	-2.850671865
O-445	-4.276896316	-6.582248437	-2.780742234
OMC-125	-4.201645364	-6.506996299	-3.072281725
OMC-126	-4.163856803	-6.469207738	-2.463236705
OMC-288	-3.10949914	-5.414850398	-3.01564869
OMC-446	-2.066585028	-4.37193673	-2.888677657
