sample	group	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Collinsella	Bacteroides
H-10	NW	0.779084131	0.779084131	0.779084131	0.534058535	0.534058535	0.000200312	0.221411084
H-118	NW	0.836443817	0.836443817	0.836443817	0.776421474	0.776421474	0.000470395	0.045357794
H-119	NW	0.708559037	0.708559037	0.708559037	0.010110974	0.010110974	0.000263617	0.645903312
H-120	NW	0.68604851	0.68604851	0.68604851	0.533777243	0.533777243	0.000542824	0.121954529
H-193	NW	0.850375241	0.850375241	0.850375241	0.006061039	0.006061039	0	0.818268887
H-314	NW	0.536465964	0.536465964	0.536465964	0.144945231	0.144945231	0.000395358	0.280087909
O-121	O	0.403940816	0.403940816	0.403940816	0.011428653	0.011428653	4.28E-05	0.212978156
O-122	O	0.435522264	0.435522264	0.435522264	0.002305452	0.002305452	0.000524345	0.404069913
O-123	O	0.459942641	0.459942641	0.459942641	0.013554816	0.013554816	0.002103875	0.299786472
O-39	O	0.659279597	0.659279597	0.659279597	0.294569581	0.294569581	0.002638381	0.336670518
O-418	O	0.822468333	0.822468333	0.822468333	0.015789474	0.015789474	2.71E-05	0.776407234
O-420	O	0.635947446	0.635947446	0.635947446	0.001630554	0.001630554	0.000972061	0.569659151
O-434	O	0.615169145	0.615169145	0.615169145	0.5120076	0.5120076	0.00045053	0.095159742
O-445	O	0.243381617	0.243381617	0.243381617	0.002611687	0.002611687	0.001346112	0.221280072
OMC-125	OMC	0.426229508	0.426229508	0.426229508	0.002029108	0.002029108	0.000335752	0.300074449
OMC-126	OMC	0.40370409	0.40370409	0.40370409	0.002294415	0.002294415	0.002733309	0.379795241
OMC-288	OMC	0.507905885	0.507905885	0.507905885	0.424806101	0.424806101	0.00074301	0.039783615
OMC-446	OMC	0.354566301	0.354566301	0.354566301	0.030675572	0.030675572	0.007116078	0.2965366
