	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55
H-10	0.0	0.9910714285714286	0.32258064516129037	0.9809523809523809	1.0	1.0	1.0	0.9649122807017544	0.9902912621359223	0.3571428571428571	0.28181818181818186	0.8706896551724138	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9047619047619048	0.9882352941176471
H-118	0.9910714285714286	0.0	0.9813084112149533	0.9830508474576272	1.0	0.7068965517241379	0.75	0.5510204081632653	0.6744186046511628	0.9142857142857143	0.873015873015873	0.7462686567164178	0.9787234042553191	0.9795918367346939	1.0	0.8717948717948718	0.9705882352941176	0.9761904761904762	0.9736842105263158	0.7419354838709677	0.4545454545454546	1.0
H-119	0.32258064516129037	0.9813084112149533	0.0	1.0	1.0	1.0	0.8867924528301887	0.9911504424778761	0.9795918367346939	0.32978723404255317	0.48360655737704916	0.9051724137931034	0.8625	0.8658536585365854	1.0	1.0	1.0	1.0	0.9620253164556962	0.8899082568807339	1.0	1.0
H-120	0.9809523809523809	0.9830508474576272	1.0	0.0	0.8214285714285714	0.7678571428571428	1.0	0.9516129032258065	0.98	0.9306930693069306	0.9375	0.9315068493150684	1.0	1.0	0.8611111111111112	0.972972972972973	1.0	0.7241379310344828	0.96875	0.9253731343283582	0.9836065573770492	1.0
H-161	1.0	1.0	1.0	0.8214285714285714	0.0	1.0	1.0	1.0	1.0	0.9259259259259259	1.0	1.0	1.0	1.0	0.6666666666666667	1.0	1.0	1.0	1.0	0.8913043478260869	1.0	1.0
H-193	1.0	0.7068965517241379	1.0	0.7678571428571428	1.0	0.0	0.88	0.7301587301587302	0.8620689655172413	0.9017857142857143	0.8978102189781022	0.9310344827586207	1.0	1.0	1.0	0.7954545454545454	0.9767441860465116	0.96	1.0	0.7014925373134329	0.796875	1.0
H-314	1.0	0.75	0.8867924528301887	1.0	1.0	0.88	0.0	0.7692307692307692	0.8421052631578947	0.9396551724137931	0.9290780141843972	0.7432432432432432	0.6428571428571428	0.6590909090909092	1.0	0.9807692307692307	0.9767441860465116	0.9803921568627451	0.8837209302325582	0.5737704918032787	0.8153846153846154	1.0
O-121	0.9649122807017544	0.5510204081632653	0.9911504424778761	0.9516129032258065	1.0	0.7301587301587302	0.7692307692307692	0.0	0.7083333333333333	0.9181818181818182	0.8425196850393701	0.8133333333333334	1.0	1.0	1.0	1.0	0.9743589743589743	0.9787234042553191	1.0	0.8472222222222222	0.6481481481481481	1.0
O-122	0.9902912621359223	0.6744186046511628	0.9795918367346939	0.98	1.0	0.8620689655172413	0.8421052631578947	0.7083333333333333	0.0	0.9285714285714286	0.9098360655737705	0.9130434782608696	1.0	0.975	1.0	0.9705882352941176	0.96	1.0	0.9655172413793104	0.8870967741935484	0.7708333333333334	1.0
O-123	0.3571428571428571	0.9142857142857143	0.32978723404255317	0.9306930693069306	0.9259259259259259	0.9017857142857143	0.9396551724137931	0.9181818181818182	0.9285714285714286	0.0	0.38983050847457623	0.9923664122137404	1.0	1.0	0.9325842696629214	1.0	0.9878048780487805	1.0	1.0	0.875	0.9158878504672897	0.9883720930232558
