# Constructed from biom file																							
#OTU ID	H-10	H-118	H-119	H-120	H-161	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	taxonomy
ALPHA-1_ERR843979_ms_2	406	0	6	0	0	0	0	0	0	120	157	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR843979_ms_2
ALPHA-1_ERR843983_ms_1	66	0	5	0	0	0	0	0	0	34	103	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR843983_ms_1
ALPHA-1_ERR843994_ms_1	101	0	8	0	0	0	0	0	0	60	112	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR843994_ms_1
ALPHA-1_ERR844000_ms_1	86	0	10	0	0	0	0	0	0	43	139	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844000_ms_1
ALPHA-1_ERR844006_ms_1	29	0	108	0	0	0	0	0	0	14	43	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844006_ms_1
ALPHA-1_ERR844008_ms_2	64	0	4	0	0	0	0	0	0	40	117	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844008_ms_2
ALPHA-1_ERR844017_ms_1	80	0	7	0	0	0	0	0	0	68	250	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844017_ms_1
ALPHA-1_ERR844018_ms_1	76	0	8	0	0	0	0	0	0	67	242	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844018_ms_1
ALPHA-1_ERR844022_ms_1	92	0	15	0	0	0	0	0	0	83	129	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844022_ms_1
ALPHA-1_ERR844032_ms_1	61	0	16	0	0	0	0	0	0	36	114	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844032_ms_1
ALPHA-1_ERR844035_ms_4	138	0	17	0	0	0	0	0	0	98	437	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844035_ms_4
ALPHA-1_ERR844037_ms_1	53	0	5	0	0	0	0	0	0	25	92	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844037_ms_1
ALPHA-1_ERR844038_ms_2	59	0	6	0	0	0	0	0	0	52	237	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844038_ms_2
ALPHA-1_ERR844044_ms_3	272	0	8	0	0	0	0	0	0	170	233	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844044_ms_3
ALPHA-1_ERR844045_ms_1	289	0	10	0	0	0	0	0	0	131	174	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844045_ms_1
ALPHA-1_ERR844050_ms_1	78	0	7	0	0	0	0	0	0	50	117	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844050_ms_1
ALPHA-1_ERR844054_ms_2	104	0	27	0	0	0	0	0	0	167	532	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844054_ms_2
ALPHA-1_ERR844062_ms_1	40	0	5	0	0	0	0	0	0	13	82	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844062_ms_1
ALPHA-1_ERR844065_ms_2	17	0	108	0	0	0	0	0	0	6	39	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844065_ms_2
ALPHA-1_ERR844082_ms_2	44	0	25	0	0	0	0	0	0	12	70	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR844082_ms_2
ALPHA-1_ERR975089_s_1	57	0	6	0	0	0	0	0	0	21	117	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_ERR975089_s_1
ALPHA-1_Fferm_ms_6	18	0	65	0	0	0	0	0	0	4	20	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_Fferm_ms_6
ALPHA-1_HvCF_A11_ms_1	64	0	10	0	0	0	0	0	0	46	133	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_A11_ms_1
ALPHA-1_HvCF_A3_ms_37	53	0	39	0	0	0	0	0	0	20	71	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_A3_ms_37
ALPHA-1_HvCF_A8_ms_1	53	0	14	0	0	0	0	0	0	36	71	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_A8_ms_1
ALPHA-1_HvCF_B11_ms_1	60	0	4	0	0	0	0	0	0	34	100	0	0	0	0	0	0	0	0	0	0	0	f__ALPHA;g__1;s__ALPHA-1_HvCF_B11_ms_1
