sample	sum_crasslike	average_crasslike	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium	Catenibacterium	Bifidobacterium adolescentis	Collinsella aerofaciens	Parabacteroides distasonis	Porphyromonas sp.	Faecalibacterium prausnitzii	Phascolarctobacterium sp.	Catenibacterium sp.
H-10	3.671080233	1.350933817	7.79E-01	1.56E-01	0.06403294	0.000200312	0.779084131	8.90E-05	1.55E-01	3.78E-04	2.00E-04	7.79E-01	1.55E-01	0.000378366	0.000200312	0.000378366	0.000200312	0.00E+00	2.66E-03	0.040768974	2.78E-05	5.56E-06	2.78E-05	0.000200312	0.000895838	0	0.040768974	2.78E-05	5.56E-06
H-118	3.824060717	1.503914555	0.836443817	1.51E-01	0.01038396	4.70E-04	0.836443817	0.000270477	0.149797142	0.001140707	0.000470395	0.836443817	1.50E-01	0.001140707	4.70E-04	0.001140707	0.000470395	0	0.002116775	0.015911095	0.001517022	0	4.70E-05	0.000470395	4.70E-05	0	0.015911095	0.001517022	0
H-119	3.068927612	0.748781674	0.708559037	2.73E-01	0.010859305	0.000263617	0.708559037	0.000280624	0.270122029	0.002244993	0.000263617	0.708559037	2.70E-01	0.002244993	0.000263617	0.002244993	0.000263617	0	0.004753603	0.040630979	0.000161571	0	4.25E-05	0.000263617	0.007262214	0	0.040630979	0.000161571	0
H-120	2.309630167	-0.010515921	0.68604851	2.93E-01	0.013073019	0.000542824	0.68604851	0.000488542	0.291840446	0.000977084	0.000542824	0.68604851	2.92E-01	0.000977084	0.000542824	0.000977084	0.000542824	0	0.003229805	0.023051939	0.0001538	0	7.24E-05	0.000542824	0.000940895	0	0.023051939	0.0001538	0
H-161	1.041392685	-1.278753427	0.610820335	0.353794949	0.019239052	1.31E-05	0.610820335	0.001226914	0.351615219	0.000952816	1.31E-05	0.610820335	0.351615219	0.000952816	1.31E-05	0.000952816	1.31E-05	0	0.008588397	0.016485023	0.000261045	1.31E-05	0.000261045	1.31E-05	0.004268094	0	0.016485023	0.000261045	1.31E-05
H-193	3.615318657	1.295173308	0.850375241	1.43E-01	0.005732256	0.00E+00	0.850375241	0.000142949	0.140633264	0.002230005	0	0.850375241	1.41E-01	0.002230005	0.00E+00	0.002230005	0	0	0.004845972	0.020999214	0.000857694	0	1.43E-05	0	4.29E-05	0	0.020999214	0.000857694	0
H-314	2.559906625	0.239759813	0.536465964	4.24E-01	0.028244843	0.000395358	0.536465964	0.000162794	0.419463243	0.004476848	0.000395358	0.536465964	4.19E-01	0.004476848	0.000395358	0.004476848	0.000395358	0	0.022035396	0.023849392	0.003988465	0	2.33E-05	0.000395358	0.000209307	0	0.023849392	0.003988465	0
O-121	3.855942946	1.535796497	4.04E-01	0.560175211	3.03E-02	4.28E-05	4.04E-01	0.000156948	0.555680797	4.34E-03	4.28E-05	4.04E-01	0.555680797	4.34E-03	4.28E-05	0.004337466	4.28E-05	0.000242556	1.50E-02	0.060695992	0.00014268	1.43E-05	0.002240073	4.28E-05	0.000998759	0.000242556	0.060695992	0.00014268	1.43E-05
O-122	3.172894698	0.852748295	4.36E-01	0.511352476	0.024511028	0.000524345	4.36E-01	8.56E-03	5.00E-01	2.40E-03	5.24E-04	4.36E-01	0.500399501	0.002397004	0.000524345	2.40E-03	0.000524345	1.66E-05	1.56E-02	0.128980441	4.99E-05	1.66E-05	0.011111111	0.000524345	0.002047441	1.66E-05	0.128980441	4.99E-05	1.66E-05
O-123	3.628286731	1.308139515	0.459942641	0.474292951	0.0552555	0.002103875	0.459942641	0.013847893	4.40E-01	0.020934079	2.10E-03	0.459942641	0.43951098	0.020934079	0.002103875	0.020934079	0.002103875	0.00E+00	0.009922753	0.02630367	2.09E-05	0	0.002323683	0.002103875	0.002941238	0	0.02630367	2.09E-05	0
O-152	4.407866583	2.087721095	0.625138971	0.337862295	0.03039274	0.000542958	0.625138971	9.05E-05	0.337164206	0.000607596	0.000542958	0.625138971	0.337164206	0.000607596	0.000542958	0.000607596	0.000542958	0.002391602	0.003736071	0.033585852	0.000129276	0	0.000349045	0.000542958	0.002417457	0.002391602	0.033585852	0.000129276	0
O-39	3.661623409	1.341478051	6.59E-01	3.07E-01	0.02020178	0.002638381	6.59E-01	2.20E-04	0.286451943	2.02E-02	0.002638381	6.59E-01	2.86E-01	0.020225602	0.002638381	2.02E-02	0.002638381	7.74E-05	2.00E-02	0.063344967	0.004639501	2.98E-05	1.19E-05	0.002638381	0.001608043	7.74E-05	0.063344967	0.004639501	2.98E-05
O-418	1.748188027	-0.571957584	0.822468333	1.13E-01	5.31E-02	2.71E-05	8.22E-01	0.001652781	1.11E-01	0.000724785	2.71E-05	0.822468333	1.11E-01	7.25E-04	2.71E-05	0.000724785	2.71E-05	0.00E+00	0.00688207	0.002621418	6.10E-05	0	6.77E-05	2.71E-05	0.004369031	0	0.002621418	6.10E-05	0
