sample	sum_crasslike	average_crasslike	Bacilli
H-10	3.671080233	1.350933817	-4.050609993
H-118	3.824060717	1.503914555	-3.567869659
H-119	3.068927612	0.748781674	-3.551875189
H-120	2.309630167	-0.010515921	-3.311098094
H-161	1.041392685	-1.278753427	-2.911185952
H-193	3.615318657	1.295173308	-3.844818878
H-314	2.559906625	0.239759813	-3.788361606
O-121	3.855942946	1.535796497	-3.804244214
O-122	3.172894698	0.852748295	-2.067730645
O-123	3.628286731	1.308139515	-1.858616301
O-152	4.407866583	2.087721095	-4.043351421
O-39	3.661623409	1.341478051	-3.656865265
O-418	1.748188027	-0.571957584	-2.781784688
O-420	2.089905111	-0.230240988	-3.389724272
O-434	2.181843588	-0.138302535	-2.850671865
O-445	1.568201724	-0.751945771	-2.780742234
OMC-125	1.643452676	-0.676694261	-3.072281725
OMC-126	1.681241237	-0.638905184	-2.463236705
OMC-288	2.743509765	0.423363855	-3.01564869
OMC-446	3.778802204	1.458655976	-2.888677657
