sample	Alpha_sum	Beta_sum	Delta_sum	Gamma_sum	Undefined_sum	Alpha_avg	Beta_avg	Delta_avg	Gamma_avg	Undefined_avg	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Collinsella	Bacteroides	Bacilli	Eubacterium
H-10	3.650987094	1.414973348	0.903089987	1.255272505	2.204119983	1.629797795	0.238882089	-0.948168362	0.176091259	1.505149978	-0.108415642	-0.108415642	-0.108415642	-0.27241114	-0.27241114	-3.698293033	-0.654800642	-4.050609993	-2.89365405
H-118	NA	0	3.823995591	NA	NA	NA	-1.176091259	1.972737242	NA	NA	-0.077563225	-0.077563225	-0.077563225	-0.109902462	-0.109902462	-3.327537303	-1.343348076	-3.567869659	-1.847916465
H-119	3.056904851	NA	1.278753601	NA	1.113943352	1.035715552	NA	-0.572504748	NA	0.414973348	-0.149623959	-0.149623959	-0.149623959	-1.995207006	-1.995207006	-3.579026587	-0.189832489	-3.551875189	-3.605560578
H-120	2.276461804	NA	0.477121255	0.301029996	1	0.255272505	NA	-1.374137094	-0.77815125	0.301029996	-0.163645175	-0.163645175	-0.163645175	-0.272639946	-0.272639946	-3.265340959	-0.913802067	-3.311098094	-3.785694057
H-161	1	NA	NA	NA	0	-1.021189299	NA	NA	NA	-0.698970004	-0.214086513	-0.214086513	-0.214086513	-1.151920043	-1.151920043	-4.882728704	-0.33633	-2.911185878	-3.605560578
H-193	1.880813592	0	3.606918526	NA	0.301029996	-0.140375707	-1.176091259	1.755660177	NA	-0.397940009	-0.070389393	-0.070389393	-0.070389393	-2.217452921	-2.217452921	NA	-0.087103962	-3.844818878	-4.707743929
H-314	2.146128036	NA	2.348304863	NA	NA	0.124938737	NA	0.497046514	NA	NA	-0.270457827	-0.270457827	-0.270457827	-0.838796069	-0.838796069	-3.403009469	-0.552705639	-3.788361606	-4.628932138
O-121	0.77815125	1.908485019	3.850646235	NA	NA	-1.243038049	0.73239376	1.999387886	NA	NA	-0.393682262	-0.393682262	-0.393682262	-1.942004953	-1.942004953	-4.368556231	-0.671664937	-3.804244214	-4.441291429
O-122	3.159867847	1.342422681	1.342422681	NA	NA	1.138678548	0.166331422	-0.508835668	NA	NA	-0.360989639	-0.360989639	-0.360989639	-2.637243915	-2.637243915	-3.280382869	-0.393543486	-2.067730645	-2.863409107
O-123	3.596926814	NA	1.851258349	NA	2.352182518	1.575737515	NA	0	NA	1.653212514	-0.337296325	-0.337296325	-0.337296325	-1.867906373	-1.867906373	-2.676980067	-0.523187969	-1.858616301	-3.748169613
O-152	4.06699642	2.743509765	3.890421019	2.718501689	3.704407927	2.045807121	1.567418506	2.03916267	1.639320443	3.005437923	-0.204023426	-0.204023426	-0.204023426	-2.185191381	-2.185191381	-3.265233764	-0.243139119	-4.043351421	-3.605261219
O-39	0.477121255	0.602059991	3.653309013	1.799340549	1.230448921	-1.544068044	-0.574031268	1.802050664	0.720159303	0.531478917	-0.180930364	-0.180930364	-0.180930364	-0.530812103	-0.530812103	-2.578662489	-0.472794913	-3.656865265	-2.377412479
O-418	NA	NA	1.748188027	NA	NA	NA	NA	-0.103070322	NA	NA	-0.084880814	-0.084880814	-0.084880814	-1.801632338	-1.801632338	-4.567030709	-0.109910427	-2.781784688	-3.424486556
O-420	0	NA	2.086359831	NA	NA	-2.021189299	NA	0.235101482	NA	NA	-0.196578772	-0.196578772	-0.196578772	-2.787664814	-2.787664814	-3.012306481	-0.244384922	-3.389724272	-2.554277044
O-434	0.903089987	NA	2.117271296	NA	1.113943352	-1.118099312	NA	0.266012947	NA	0.414973348	-0.211005456	-0.211005456	-0.211005456	-0.290723593	-0.290723593	-3.346276285	-1.021546744	-2.850671865	-3.420986244
O-445	NA	NA	1.568201724	NA	NA	NA	NA	-0.283056625	NA	NA	-0.613712228	-0.613712228	-0.613712228	-2.583078873	-2.583078873	-2.870918804	-0.655057696	-2.780742234	-4.555955204
OMC-124	NA	0.301029996	0.77815125	NA	NA	NA	-0.875061263	-1.073107098	NA	NA	-0.07580108	-0.07580108	-0.07580108	-0.162697448	-0.162411562	-3.49179764	-0.910094889	-3.952530425	-2.863409107
OMC-125	1.477121255	NA	1.146128036	NA	NA	-0.544068044	NA	-0.705130313	NA	NA	-0.370356487	-0.370356487	-0.370356487	-2.692694837	-2.692694837	-3.473981392	-0.522770983	-3.072281725	-1.88760697
OMC-126	NA	NA	1.681241237	NA	NA	NA	NA	-0.170017111	NA	NA	-0.393936851	-0.393936851	-0.393936851	-2.639328027	-2.639328027	-2.563311269	-0.420450481	-2.463236705	-3.125587188
OMC-288	2.136720567	1	2.598790507	NA	1	0.115531268	-0.176091259	0.747532158	NA	0.301029996	-0.294216755	-0.294216755	-0.294216755	-0.371809255	-0.371809255	-3.129005341	-1.400295757	-3.01564869	-3.812702124
OMC-446	NA	NA	3.777136713	1.278753601	0.602059991	NA	NA	1.925878364	0.199572355	-0.096910013	-0.450302543	-0.450302543	-0.450302543	-1.51320733	-1.51320733	-2.1477593	-0.527921696	-2.888677657	-4.367542708
