"Var1"	"Var2"	"value"
"1"	"Beta_sum"	"Alpha_sum"	0.571428571428571
"2"	"Delta_sum"	"Alpha_sum"	-0.283516483516484
"3"	"Gamma_sum"	"Alpha_sum"	0.4
"4"	"Undefined_sum"	"Alpha_sum"	0.579279061653149
"5"	"Alpha_avg"	"Alpha_sum"	1
"6"	"Beta_avg"	"Alpha_sum"	0.571428571428571
"7"	"Delta_avg"	"Alpha_sum"	-0.283516483516484
"8"	"Gamma_avg"	"Alpha_sum"	0.4
"9"	"Undefined_avg"	"Alpha_sum"	0.579279061653149
"10"	"Bacteroidetes"	"Alpha_sum"	0.125
"11"	"Bacteroidia"	"Alpha_sum"	0.125
"12"	"Bacteroidales"	"Alpha_sum"	0.125
"13"	"Prevotellaceae"	"Alpha_sum"	0.135714285714286
"14"	"Prevotella"	"Alpha_sum"	0.135714285714286
"15"	"Collinsella"	"Alpha_sum"	-0.0417582417582418
"16"	"Bacteroides"	"Alpha_sum"	0.0714285714285714
"17"	"Bacilli"	"Alpha_sum"	-0.1
"18"	"Eubacterium"	"Alpha_sum"	-0.150134108207386
"19"	"Alpha_sum"	"Beta_sum"	0.571428571428571
"20"	"Delta_sum"	"Beta_sum"	0.284521318976946
"21"	"Gamma_sum"	"Beta_sum"	0.5
"22"	"Undefined_sum"	"Beta_sum"	0.9
"23"	"Alpha_avg"	"Beta_sum"	0.571428571428571
"24"	"Beta_avg"	"Beta_sum"	1
"25"	"Delta_avg"	"Beta_sum"	0.284521318976946
"26"	"Gamma_avg"	"Beta_sum"	0.5
"27"	"Undefined_avg"	"Beta_sum"	0.9
"28"	"Bacteroidetes"	"Beta_sum"	-0.736408119705036
"29"	"Bacteroidia"	"Beta_sum"	-0.736408119705036
"30"	"Bacteroidales"	"Beta_sum"	-0.736408119705036
"31"	"Prevotellaceae"	"Beta_sum"	-0.343099237589846
"32"	"Prevotella"	"Beta_sum"	-0.343099237589846
"33"	"Collinsella"	"Beta_sum"	-0.19047619047619
"34"	"Bacteroides"	"Beta_sum"	0.175733755838702
"35"	"Bacilli"	"Beta_sum"	-0.276153044889389
"36"	"Eubacterium"	"Beta_sum"	-0.294117647058824
"37"	"Alpha_sum"	"Delta_sum"	-0.283516483516484
"38"	"Beta_sum"	"Delta_sum"	0.284521318976946
"39"	"Gamma_sum"	"Delta_sum"	0.9
"40"	"Undefined_sum"	"Delta_sum"	-0.0121953486663821
"41"	"Alpha_avg"	"Delta_sum"	-0.283516483516484
"42"	"Beta_avg"	"Delta_sum"	0.284521318976946
"43"	"Delta_avg"	"Delta_sum"	1
"44"	"Gamma_avg"	"Delta_sum"	0.9
"45"	"Undefined_avg"	"Delta_sum"	-0.0121953486663821
"46"	"Bacteroidetes"	"Delta_sum"	-0.115789473684211
"47"	"Bacteroidia"	"Delta_sum"	-0.115789473684211
"48"	"Bacteroidales"	"Delta_sum"	-0.115789473684211
"49"	"Prevotellaceae"	"Delta_sum"	0.0075187969924812
"50"	"Prevotella"	"Delta_sum"	0.0075187969924812
"51"	"Collinsella"	"Delta_sum"	0.264912280701754
"52"	"Bacteroides"	"Delta_sum"	0.0210526315789474
"53"	"Bacilli"	"Delta_sum"	-0.198496240601504
"54"	"Eubacterium"	"Delta_sum"	-0.213614155760865
"55"	"Alpha_sum"	"Gamma_sum"	0.4
"56"	"Beta_sum"	"Gamma_sum"	0.5
"57"	"Delta_sum"	"Gamma_sum"	0.9
"58"	"Undefined_sum"	"Gamma_sum"	0.5
"59"	"Alpha_avg"	"Gamma_sum"	0.4
"60"	"Beta_avg"	"Gamma_sum"	0.5
"61"	"Delta_avg"	"Gamma_sum"	0.9
"62"	"Gamma_avg"	"Gamma_sum"	1
"63"	"Undefined_avg"	"Gamma_sum"	0.5
"64"	"Bacteroidetes"	"Gamma_sum"	-0.6
"65"	"Bacteroidia"	"Gamma_sum"	-0.6
"66"	"Bacteroidales"	"Gamma_sum"	-0.6
"67"	"Prevotellaceae"	"Gamma_sum"	-0.8
"68"	"Prevotella"	"Gamma_sum"	-0.8
"69"	"Collinsella"	"Gamma_sum"	0.5
"70"	"Bacteroides"	"Gamma_sum"	1
"71"	"Bacilli"	"Gamma_sum"	-0.2
"72"	"Eubacterium"	"Gamma_sum"	0.3
"73"	"Alpha_sum"	"Undefined_sum"	0.579279061653149
"74"	"Beta_sum"	"Undefined_sum"	0.9
"75"	"Delta_sum"	"Undefined_sum"	-0.0121953486663821
"76"	"Gamma_sum"	"Undefined_sum"	0.5
"77"	"Alpha_avg"	"Undefined_sum"	0.579279061653149
"78"	"Beta_avg"	"Undefined_sum"	0.9
"79"	"Delta_avg"	"Undefined_sum"	-0.0121953486663821
"80"	"Gamma_avg"	"Undefined_sum"	0.5
"81"	"Undefined_avg"	"Undefined_sum"	1
"82"	"Bacteroidetes"	"Undefined_sum"	0.0502288341474945
"83"	"Bacteroidia"	"Undefined_sum"	0.0502288341474945
"84"	"Bacteroidales"	"Undefined_sum"	0.0502288341474945
"85"	"Prevotellaceae"	"Undefined_sum"	0.0273975458986334
"86"	"Prevotella"	"Undefined_sum"	0.0273975458986334
"87"	"Collinsella"	"Undefined_sum"	0.121953486663821
"88"	"Bacteroides"	"Undefined_sum"	-0.0365300611981778
"89"	"Bacilli"	"Undefined_sum"	-0.237445397788156
"90"	"Eubacterium"	"Undefined_sum"	0.61098558139379
