sample	Alpha_sum	Beta_sum	Delta_sum	Gamma_sum	Undefined_sum	Alpha_avg	Beta_avg	Delta_avg	Gamma_avg	Undefined_avg	Bacteroidetes	Firmicutes	Proteobacteria	Coriobacteriia	Bacteroidia	Bacilli	Clostridia	Erysipelotrichi	Coriobacteriales	Bacteroidales	Clostridiales	Erysipelotrichales	Coriobacteriaceae	Erysipelotrichaceae	Collinsella	Porphyromonas	Coprococcus	Faecalibacterium	Phascolarctobacterium	Catenibacterium	Bifidobacterium adolescentis	Collinsella aerofaciens	Parabacteroides distasonis	Porphyromonas sp.	Faecalibacterium prausnitzii	Phascolarctobacterium sp.	Catenibacterium sp.
H-10	3.650987094	1.414973348	0.903089987	1.255272505	2.204119983	1.629797795	0.238882089	-0.948168362	0.176091259	1.505149978	-1.08E-01	-8.07E-01	-1.19E+00	-3.70E+00	-1.08E-01	-4.05E+00	-8.10E-01	-3.42E+00	-3.70E+00	-1.08E-01	-8.10E-01	-3.42E+00	-3.70E+00	-3.42E+00	-3.70E+00	NA	-2.58E+00	-1.39E+00	-4.56E+00	-5.25E+00	-4.56E+00	-3.70E+00	-3.05E+00	NA	-1.39E+00	-4.56E+00	-5.25E+00
H-118	NA	0	3.823995591	NA	NA	NA	-1.176091259	1.972737242	NA	NA	-7.76E-02	-8.21E-01	-1.98E+00	-3.33E+00	-7.76E-02	-3.57E+00	-8.24E-01	-2.94E+00	-3.33E+00	-7.76E-02	-8.24E-01	-2.94E+00	-3.33E+00	-2.94E+00	-3.33E+00	NA	-2.67E+00	-1.80E+00	-2.82E+00	NA	-4.33E+00	-3.33E+00	-4.33E+00	NA	-1.80E+00	-2.82E+00	NA
H-119	3.056904851	NA	1.278753601	NA	1.113943352	1.035715552	NA	-0.572504748	NA	0.414973348	-1.50E-01	-5.64E-01	-1.96E+00	-3.58E+00	-1.50E-01	-3.55E+00	-5.68E-01	-2.65E+00	-3.58E+00	-1.50E-01	-5.69E-01	-2.65E+00	-3.58E+00	-2.65E+00	-3.58E+00	NA	-2.32E+00	-1.39E+00	-3.79E+00	NA	-4.37E+00	-3.58E+00	-2.14E+00	NA	-1.39E+00	-3.79E+00	NA
H-120	2.276461804	NA	0.477121255	0.301029996	1	0.255272505	NA	-1.374137094	-0.77815125	0.301029996	-1.64E-01	-5.33E-01	-1.88E+00	-3.27E+00	-1.64E-01	-3.31E+00	-5.35E-01	-3.01E+00	-3.27E+00	-1.64E-01	-5.35E-01	-3.01E+00	-3.27E+00	-3.01E+00	-3.27E+00	NA	-2.49E+00	-1.64E+00	-3.81E+00	NA	-4.14E+00	-3.27E+00	-3.03E+00	NA	-1.64E+00	-3.81E+00	NA
H-161	1	NA	NA	NA	0	-1.021189299	NA	NA	NA	-0.698970004	-2.14E-01	-4.51E-01	-1.72E+00	-4.88E+00	-2.14E-01	-2.91E+00	-4.54E-01	-3.02E+00	-4.88E+00	-2.14E-01	-4.54E-01	-3.02E+00	-4.88E+00	-3.02E+00	-4.88E+00	NA	-2.07E+00	-1.78E+00	-3.58E+00	-4.88E+00	-3.58E+00	-4.88E+00	-2.37E+00	NA	-1.78E+00	-3.58E+00	-4.88E+00
H-193	1.880813592	0	3.606918526	NA	0.301029996	-0.140375707	-1.176091259	1.755660177	NA	-0.397940009	-7.04E-02	-8.45E-01	-2.24E+00	NA	-7.04E-02	-3.84E+00	-8.52E-01	-2.65E+00	NA	-7.04E-02	-8.51E-01	-2.65E+00	NA	-2.65E+00	NA	NA	-2.31E+00	-1.68E+00	-3.07E+00	NA	-4.84E+00	NA	-4.37E+00	NA	-1.68E+00	-3.07E+00	NA
H-314	2.146128036	NA	2.348304863	NA	NA	0.124938737	NA	0.497046514	NA	NA	-2.70E-01	-3.73E-01	-1.55E+00	-3.40E+00	-2.70E-01	-3.79E+00	-3.77E-01	-2.35E+00	-3.40E+00	-2.70E-01	-3.78E-01	-2.35E+00	-3.40E+00	-2.35E+00	-3.40E+00	NA	-1.66E+00	-1.62E+00	-2.40E+00	NA	-4.63E+00	-3.40E+00	-3.68E+00	NA	-1.62E+00	-2.40E+00	NA
O-121	0.77815125	1.908485019	3.850646235	NA	NA	-1.243038049	0.73239376	1.999387886	NA	NA	-3.94E-01	-2.52E-01	-1.52E+00	-4.37E+00	-3.94E-01	-3.80E+00	-2.55E-01	-2.36E+00	-4.37E+00	-3.94E-01	-2.55E-01	-2.36E+00	-4.37E+00	-2.36E+00	-4.37E+00	-3.62E+00	-1.82E+00	-1.22E+00	-3.85E+00	-4.84E+00	-2.65E+00	-4.37E+00	-3.00E+00	-3.62E+00	-1.22E+00	-3.85E+00	-4.84E+00
O-122	3.159867847	1.342422681	1.342422681	NA	NA	1.138678548	0.166331422	-0.508835668	NA	NA	-3.61E-01	-2.91E-01	-1.61E+00	-3.28E+00	-3.61E-01	-2.07E+00	-3.01E-01	-2.62E+00	-3.28E+00	-3.61E-01	-3.01E-01	-2.62E+00	-3.28E+00	-2.62E+00	-3.28E+00	-4.78E+00	-1.81E+00	-8.89E-01	-4.30E+00	-4.78E+00	-1.95E+00	-3.28E+00	-2.69E+00	-4.78E+00	-8.89E-01	-4.30E+00	-4.78E+00
O-123	3.596926814	NA	1.851258349	NA	2.352182518	1.575737515	NA	0	NA	1.653212514	-3.37E-01	-3.24E-01	-1.26E+00	-2.68E+00	-3.37E-01	-1.86E+00	-3.57E-01	-1.68E+00	-2.68E+00	-3.37E-01	-3.57E-01	-1.68E+00	-2.68E+00	-1.68E+00	-2.68E+00	NA	-2.00E+00	-1.58E+00	-4.68E+00	NA	-2.63E+00	-2.68E+00	-2.53E+00	NA	-1.58E+00	-4.68E+00	NA
O-152	4.06699642	2.743509765	3.890421019	2.718501689	3.704407927	2.045807121	1.567418506	2.03916267	1.639320443	3.005437923	-2.04E-01	-4.71E-01	-1.52E+00	-3.27E+00	-2.04E-01	-4.04E+00	-4.72E-01	-3.22E+00	-3.27E+00	-2.04E-01	-4.72E-01	-3.22E+00	-3.27E+00	-3.22E+00	-3.27E+00	-2.62E+00	-2.43E+00	-1.47E+00	-3.89E+00	NA	-3.46E+00	-3.27E+00	-2.62E+00	-2.62E+00	-1.47E+00	-3.89E+00	NA
