"Var1"	"Var2"	"value"
"1"	"Alpha_3_avg"	"Alpha_1_avg"	1
"2"	"Beta_6_avg"	"Alpha_1_avg"	1
"3"	"Delta_10_avg"	"Alpha_1_avg"	-0.5
"4"	"Delta_7_avg"	"Alpha_1_avg"	0.8
"5"	"Delta_8_avg"	"Alpha_1_avg"	1
"6"	"Gamma_2_avg"	"Alpha_1_avg"	1
"7"	"Undefined_avg"	"Alpha_1_avg"	0.8
"8"	"Bacteroidetes"	"Alpha_1_avg"	0.5
"9"	"Bacteroidia"	"Alpha_1_avg"	0.5
"10"	"Bacteroidales"	"Alpha_1_avg"	0.5
"11"	"Prevotellaceae"	"Alpha_1_avg"	0.4
"12"	"Prevotella"	"Alpha_1_avg"	0.4
"13"	"Collinsella"	"Alpha_1_avg"	0.1
"14"	"Bacteroides"	"Alpha_1_avg"	-0.2
"15"	"Bacilli"	"Alpha_1_avg"	-0.6
"16"	"Eubacterium"	"Alpha_1_avg"	-0.2
"17"	"Alpha_1_avg"	"Alpha_3_avg"	1
"18"	"Alpha_4_avg"	"Alpha_3_avg"	-1
"19"	"Beta_6_avg"	"Alpha_3_avg"	1
"20"	"Delta_10_avg"	"Alpha_3_avg"	-0.5
"21"	"Delta_7_avg"	"Alpha_3_avg"	0.542857142857143
"22"	"Gamma_2_avg"	"Alpha_3_avg"	1
"23"	"Undefined_avg"	"Alpha_3_avg"	0.5
"24"	"Bacteroidetes"	"Alpha_3_avg"	-0.464285714285714
"25"	"Bacteroidia"	"Alpha_3_avg"	-0.464285714285714
"26"	"Bacteroidales"	"Alpha_3_avg"	-0.464285714285714
"27"	"Collinsella"	"Alpha_3_avg"	-0.257142857142857
"28"	"Bacteroides"	"Alpha_3_avg"	0.357142857142857
"29"	"Bacilli"	"Alpha_3_avg"	-0.0714285714285714
"30"	"Eubacterium"	"Alpha_3_avg"	0.107142857142857
"31"	"Alpha_3_avg"	"Alpha_4_avg"	-1
"32"	"Alpha_9_avg"	"Alpha_4_avg"	-1
"33"	"Beta_6_avg"	"Alpha_4_avg"	-0.5
"34"	"Delta_10_avg"	"Alpha_4_avg"	1
"35"	"Delta_7_avg"	"Alpha_4_avg"	-0.392857142857143
"36"	"Gamma_2_avg"	"Alpha_4_avg"	-1
"37"	"Undefined_avg"	"Alpha_4_avg"	-0.6
"38"	"Bacteroidetes"	"Alpha_4_avg"	0.571428571428571
"39"	"Bacteroidia"	"Alpha_4_avg"	0.571428571428571
"40"	"Bacteroidales"	"Alpha_4_avg"	0.571428571428571
"41"	"Prevotellaceae"	"Alpha_4_avg"	0.535714285714286
"42"	"Prevotella"	"Alpha_4_avg"	0.535714285714286
"43"	"Collinsella"	"Alpha_4_avg"	0.142857142857143
"44"	"Bacteroides"	"Alpha_4_avg"	-0.464285714285714
"45"	"Bacilli"	"Alpha_4_avg"	-0.214285714285714
"46"	"Eubacterium"	"Alpha_4_avg"	-0.678571428571429
"47"	"Alpha_4_avg"	"Alpha_9_avg"	-1
"48"	"Delta_7_avg"	"Alpha_9_avg"	0.5
"49"	"Delta_8_avg"	"Alpha_9_avg"	-1
"50"	"Undefined_avg"	"Alpha_9_avg"	0.359092423229804
"51"	"Bacteroidetes"	"Alpha_9_avg"	-1
"52"	"Bacteroidia"	"Alpha_9_avg"	-1
"53"	"Bacteroidales"	"Alpha_9_avg"	-1
"54"	"Prevotellaceae"	"Alpha_9_avg"	-0.9
"55"	"Prevotella"	"Alpha_9_avg"	-0.9
"56"	"Collinsella"	"Alpha_9_avg"	0.6
"57"	"Bacteroides"	"Alpha_9_avg"	0.1
"58"	"Bacilli"	"Alpha_9_avg"	0.6
"59"	"Eubacterium"	"Alpha_9_avg"	-0.2
"60"	"Alpha_1_avg"	"Beta_6_avg"	1
"61"	"Alpha_3_avg"	"Beta_6_avg"	1
"62"	"Alpha_4_avg"	"Beta_6_avg"	-0.5
"63"	"Delta_10_avg"	"Beta_6_avg"	0.2
"64"	"Delta_7_avg"	"Beta_6_avg"	0.383240403812243
"65"	"Gamma_2_avg"	"Beta_6_avg"	0.5
"66"	"Undefined_avg"	"Beta_6_avg"	0.9
"67"	"Bacteroidetes"	"Beta_6_avg"	-0.736408119705036
"68"	"Bacteroidia"	"Beta_6_avg"	-0.736408119705036
"69"	"Bacteroidales"	"Beta_6_avg"	-0.736408119705036
"70"	"Prevotellaceae"	"Beta_6_avg"	-0.343099237589846
"71"	"Prevotella"	"Beta_6_avg"	-0.343099237589846
"72"	"Collinsella"	"Beta_6_avg"	-0.19047619047619
"73"	"Bacteroides"	"Beta_6_avg"	0.175733755838702
"74"	"Bacilli"	"Beta_6_avg"	-0.276153044889389
"75"	"Eubacterium"	"Beta_6_avg"	-0.294117647058824
"76"	"Alpha_1_avg"	"Delta_10_avg"	-0.5
"77"	"Alpha_3_avg"	"Delta_10_avg"	-0.5
"78"	"Alpha_4_avg"	"Delta_10_avg"	1
"79"	"Beta_6_avg"	"Delta_10_avg"	0.2
"80"	"Delta_7_avg"	"Delta_10_avg"	-0.455097979527038
"81"	"Gamma_2_avg"	"Delta_10_avg"	0.6
"82"	"Undefined_avg"	"Delta_10_avg"	-0.0285714285714286
"83"	"Bacteroidetes"	"Delta_10_avg"	-0.109090909090909
"84"	"Bacteroidia"	"Delta_10_avg"	-0.109090909090909
"85"	"Bacteroidales"	"Delta_10_avg"	-0.109090909090909
"86"	"Prevotellaceae"	"Delta_10_avg"	-0.127272727272727
"87"	"Prevotella"	"Delta_10_avg"	-0.127272727272727
"88"	"Collinsella"	"Delta_10_avg"	-0.209090909090909
"89"	"Bacteroides"	"Delta_10_avg"	0.0636363636363636
"90"	"Bacilli"	"Delta_10_avg"	-0.00909090909090909
"91"	"Eubacterium"	"Delta_10_avg"	-0.336363636363636
"92"	"Alpha_1_avg"	"Delta_7_avg"	0.8
