"Var1"	"Var2"	"value"
"1"	"Diastolic.BP"	"Waist.circumference"	0.032379554792483
"2"	"Glucose"	"Waist.circumference"	0.0213269971097198
"3"	"TG"	"Waist.circumference"	0.568848919498811
"4"	"HDL"	"Waist.circumference"	-0.650832523831319
"5"	"Alpha_1_avg"	"Waist.circumference"	0.3
"6"	"Alpha_3_avg"	"Waist.circumference"	0.642857142857143
"7"	"Alpha_4_avg"	"Waist.circumference"	-0.642857142857143
"8"	"Alpha_9_avg"	"Waist.circumference"	0.9
"9"	"Beta_6_avg"	"Waist.circumference"	0.706599494528823
"10"	"Delta_10_avg"	"Waist.circumference"	-0.109090909090909
"11"	"Delta_7_avg"	"Waist.circumference"	0.137622932523437
"12"	"Delta_8_avg"	"Waist.circumference"	-1
"13"	"Gamma_2_avg"	"Waist.circumference"	0.9
"14"	"Undefined_avg"	"Waist.circumference"	0.557083433272212
"15"	"Waist.circumference"	"Diastolic.BP"	0.032379554792483
"16"	"Glucose"	"Diastolic.BP"	0.00724685117447271
"17"	"TG"	"Diastolic.BP"	0.0399397249803174
"18"	"HDL"	"Diastolic.BP"	-0.00641994690166958
"19"	"Alpha_1_avg"	"Diastolic.BP"	0.3
"20"	"Alpha_3_avg"	"Diastolic.BP"	-0.468487480601691
"21"	"Alpha_4_avg"	"Diastolic.BP"	0.392857142857143
"22"	"Alpha_9_avg"	"Diastolic.BP"	0.7
"23"	"Beta_6_avg"	"Diastolic.BP"	-0.0783132530120482
"24"	"Delta_10_avg"	"Diastolic.BP"	-0.278541716636106
"25"	"Delta_7_avg"	"Diastolic.BP"	0.187108400854876
"26"	"Delta_8_avg"	"Diastolic.BP"	-1
"27"	"Gamma_2_avg"	"Diastolic.BP"	-0.5
"28"	"Undefined_avg"	"Diastolic.BP"	-0.0182650305990889
"29"	"Waist.circumference"	"Glucose"	0.0213269971097198
"30"	"Diastolic.BP"	"Glucose"	0.00724685117447271
"31"	"TG"	"Glucose"	-0.227913289839704
"32"	"HDL"	"Glucose"	0.00496586750956194
"33"	"Alpha_1_avg"	"Glucose"	-0.447213595499958
"34"	"Alpha_3_avg"	"Glucose"	-0.290957186981323
"35"	"Alpha_4_avg"	"Glucose"	-0.198206241793023
"36"	"Alpha_9_avg"	"Glucose"	-0.0512989176042577
"37"	"Beta_6_avg"	"Glucose"	0.142018606998774
"38"	"Delta_10_avg"	"Glucose"	0.478062476199886
"39"	"Delta_7_avg"	"Glucose"	-0.186907540901879
"40"	"Delta_8_avg"	"Glucose"	-0.866025403784439
"41"	"Gamma_2_avg"	"Glucose"	0.102597835208515
"42"	"Undefined_avg"	"Glucose"	-0.18014289186428
"43"	"Waist.circumference"	"TG"	0.568848919498811
"44"	"Diastolic.BP"	"TG"	0.0399397249803174
"45"	"Glucose"	"TG"	-0.227913289839704
"46"	"HDL"	"TG"	-0.756983072369208
"47"	"Alpha_1_avg"	"TG"	0.6
"48"	"Alpha_3_avg"	"TG"	0.178571428571429
"49"	"Alpha_4_avg"	"TG"	-0.857142857142857
"50"	"Alpha_9_avg"	"TG"	0.1
"51"	"Delta_10_avg"	"TG"	-0.246014305692231
"52"	"Delta_7_avg"	"TG"	0.262075134168157
