	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-161	2.0	2.0	0.8739810481273579	0.4152249134948096	1.0
100_H-161	3.0	3.0	0.8030717273241025	0.2901234567901234	0.9444444444444444
101_H-161	1.0	1.0	-0.0	0.0	1.0
102_H-161	2.0	2.0	1.0	0.5	1.0
103_H-161	1.0	1.0	-0.0	0.0	1.0
104_H-161	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
105_H-161	2.0	2.0	0.5435644431995964	0.21875	0.875
106_H-161	2.0	2.0	0.6193821946787638	0.2603550295857988	1.0
107_H-161	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
108_H-161	1.0	1.0	-0.0	0.0	1.0
109_H-161	2.0	2.0	0.43949698692151334	0.16528925619834722	0.9090909090909091
10_H-161	1.0	1.0	-0.0	0.0	1.0
110_H-161	2.0	2.0	0.74959525725948	0.33673469387755106	1.0
111_H-161	2.0	2.0	0.74959525725948	0.33673469387755106	1.0
112_H-161	1.0	1.0	-0.0	0.0	1.0
113_H-161	2.0	2.0	0.9366673818775625	0.45674740484429055	1.0
114_H-161	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
115_H-161	1.0	1.0	-0.0	0.0	1.0
116_H-161	2.0	2.0	0.7642045065086203	0.345679012345679	1.0
117_H-161	2.0	2.0	0.8366407419411673	0.3911111111111112	1.0
118_H-161	2.0	2.0	0.5225593745369408	0.20761245674740492	1.0
119_H-161	2.0	2.0	0.5916727785823274	0.24489795918367352	1.0
11_H-161	1.0	1.0	-0.0	0.0	1.0
120_H-161	2.0	2.0	0.6193821946787638	0.2603550295857988	1.0
121_H-161	1.0	1.0	-0.0	0.0	1.0
122_H-161	2.0	2.0	0.74959525725948	0.33673469387755106	1.0
123_H-161	1.0	1.0	-0.0	0.0	1.0
124_H-161	1.0	1.0	-0.0	0.0	1.0
125_H-161	1.0	1.0	-0.0	0.0	1.0
126_H-161	2.0	2.0	0.4138168503036338	0.1527777777777779	0.9166666666666666
127_H-161	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
128_H-161	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
129_H-161	2.0	2.0	0.8112781244591328	0.375	1.0
12_H-161	2.0	2.0	0.3912435636292556	0.14201183431952646	0.9230769230769231
130_H-161	2.0	2.0	0.5916727785823274	0.24489795918367352	1.0
131_H-161	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
132_H-161	2.0	2.0	0.8112781244591328	0.375	1.0
133_H-161	2.0	2.0	0.7793498372920851	0.3550295857988165	1.0
134_H-161	2.0	2.0	0.7219280948873623	0.31999999999999984	1.0
135_H-161	1.0	1.0	-0.0	0.0	1.0
136_H-161	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
137_H-161	2.0	2.0	0.5032583347756457	0.19753086419753085	1.0
138_H-161	3.0	3.0	0.946372935985442	0.3571428571428572	0.9285714285714286
139_H-161	2.0	2.0	0.5032583347756457	0.19753086419753085	0.8888888888888888
13_H-161	1.0	1.0	-0.0	0.0	1.0
140_H-161	1.0	1.0	-0.0	0.0	1.0
141_H-161	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
142_H-161	2.0	2.0	0.7642045065086203	0.345679012345679	1.0
143_H-161	1.0	1.0	-0.0	0.0	1.0
144_H-161	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
145_H-161	2.0	2.0	0.3372900666170139	0.1171875	0.9375
146_H-161	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
147_H-161	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
148_H-161	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
149_H-161	2.0	2.0	0.3227569588973983	0.11072664359861584	0.9411764705882353
14_H-161	2.0	2.0	0.6292492238560347	0.2659279778393353	1.0
150_H-161	2.0	2.0	0.954434002924965	0.46875	1.0
151_H-161	3.0	3.0	0.8683927290103626	0.3203125	0.9375
152_H-161	2.0	2.0	0.6500224216483541	0.2777777777777777	1.0
153_H-161	2.0	2.0	0.8112781244591328	0.375	1.0
154_H-161	2.0	2.0	0.4138168503036338	0.1527777777777779	0.9166666666666666
155_H-161	2.0	2.0	0.954434002924965	0.46875	1.0
156_H-161	2.0	2.0	0.6193821946787638	0.2603550295857988	1.0
157_H-161	1.0	1.0	-0.0	0.0	1.0
158_H-161	2.0	2.0	0.5435644431995964	0.21875	0.875
159_H-161	2.0	2.0	0.9709505944546688	0.48	1.0
15_H-161	2.0	2.0	0.5225593745369408	0.20761245674740492	1.0
160_H-161	3.0	3.0	1.198183947911799	0.47337278106508884	1.0
161_H-161	1.0	1.0	-0.0	0.0	1.0
162_H-161	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
163_H-161	2.0	2.0	0.3912435636292556	0.14201183431952646	0.9230769230769231
164_H-161	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
165_H-161	1.0	1.0	-0.0	0.0	1.0
166_H-161	2.0	2.0	0.5435644431995964	0.21875	1.0
167_H-161	1.0	1.0	-0.0	0.0	1.0
168_H-161	1.0	1.0	-0.0	0.0	1.0
169_H-161	2.0	2.0	0.7219280948873623	0.31999999999999984	1.0
16_H-161	2.0	2.0	0.7219280948873623	0.31999999999999984	1.0
170_H-161	2.0	2.0	0.3227569588973983	0.11072664359861584	0.9411764705882353
171_H-161	1.0	1.0	-0.0	0.0	1.0
172_H-161	2.0	2.0	0.9709505944546688	0.48	1.0
173_H-161	2.0	2.0	0.7732266742876345	0.35123966942148765	1.0
174_H-161	1.0	1.0	-0.0	0.0	1.0
175_H-161	2.0	2.0	0.7219280948873623	0.31999999999999984	1.0
176_H-161	2.0	2.0	0.9709505944546688	0.48	1.0
177_H-161	1.0	1.0	-0.0	0.0	1.0
178_H-161	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
179_H-161	2.0	2.0	0.8112781244591328	0.375	0.75
17_H-161	1.0	1.0	-0.0	0.0	1.0
180_H-161	1.0	1.0	-0.0	0.0	1.0
181_H-161	1.0	1.0	-0.0	0.0	1.0
182_H-161	2.0	2.0	0.6500224216483541	0.2777777777777777	1.0
183_H-161	1.0	1.0	-0.0	0.0	1.0
184_H-161	1.0	1.0	-0.0	0.0	1.0
185_H-161	2.0	2.0	0.5916727785823274	0.24489795918367352	1.0
186_H-161	2.0	2.0	0.8112781244591328	0.375	1.0
187_H-161	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
188_H-161	2.0	2.0	0.5435644431995964	0.21875	1.0
