	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-39	6.0	6.0	0.24411663097366	0.05888597722629629	1.0
100_O-39	6.0	6.0	0.2604952165013293	0.06279769002352742	1.0
101_O-39	6.0	6.0	0.23418336137945234	0.054506670561866755	1.0
102_O-39	6.0	6.0	0.22082888510763402	0.05190814289360568	1.0
103_O-39	6.0	6.0	0.24726646919808248	0.05878828124999991	1.0
104_O-39	6.0	6.0	0.22474593440114723	0.05275180695904014	1.0
105_O-39	6.0	6.0	0.22508094641350065	0.053148967410995285	1.0
106_O-39	8.0	8.0	0.2521710631914244	0.05980101569679619	0.9997850386930353
107_O-39	6.0	6.0	0.2889258875260391	0.0705717262161627	1.0
108_O-39	7.0	7.0	0.2780518759062147	0.06765701982969985	1.0
109_O-39	6.0	6.0	0.2598971628718114	0.06189043651813786	1.0
10_O-39	8.0	7.0	0.21275430410028118	0.04941218907701028	0.9995628415300546
110_O-39	7.0	7.0	0.26635822496827904	0.065320634920635	0.9997883597883598
111_O-39	6.0	6.0	0.2260120340172651	0.05325176097728601	1.0
112_O-39	7.0	7.0	0.25096947178161794	0.058732003017433976	0.9997764363961547
113_O-39	6.0	6.0	0.26701245167110593	0.0645855231783522	1.0
114_O-39	7.0	7.0	0.24191990333491942	0.05648439711767228	0.9997851310700473
115_O-39	6.0	6.0	0.22749418283143238	0.05391140011501727	1.0
116_O-39	6.0	6.0	0.23322677350627324	0.054568758701995734	0.9997845291962939
117_O-39	7.0	7.0	0.27897887794111215	0.06762350270850759	1.0
118_O-39	6.0	6.0	0.27135508338149833	0.06633096960179674	1.0
119_O-39	7.0	7.0	0.22598375043983288	0.052852712294552795	0.999786370433668
11_O-39	6.0	6.0	0.23526197158614923	0.056201077251659015	1.0
120_O-39	6.0	6.0	0.2611393579461582	0.06406921635189833	0.99977856510186
121_O-39	8.0	7.0	0.2509804300768235	0.06084354752417653	0.9995590828924162
122_O-39	6.0	6.0	0.23284249117676353	0.05572040816874135	1.0
123_O-39	8.0	7.0	0.22940104810187778	0.05399439369958625	0.9995633187772925
