	chao1	observed_otus	shannon	simpson	goods_coverage
1000_OMC-126	3.0	3.0	0.6462841189389683	0.23843723068083877	0.9830508474576272
100_OMC-126	1.0	1.0	-0.0	0.0	1.0
101_OMC-126	2.0	2.0	0.3860189005698934	0.13955144179423273	1.0
102_OMC-126	3.0	3.0	0.5572669913005267	0.19010416666666663	0.9791666666666666
103_OMC-126	2.0	2.0	0.42622865699814483	0.15879017013232533	1.0
104_OMC-126	2.0	2.0	0.656540281386946	0.28152829646653266	1.0
105_OMC-126	4.0	4.0	0.8653973116341154	0.28772309356408865	0.9767441860465116
106_OMC-126	3.0	3.0	0.7338988107776284	0.28326474622770914	0.9814814814814815
107_OMC-126	3.0	3.0	0.5260997945093815	0.17677514792899407	0.9807692307692307
108_OMC-126	3.0	3.0	0.6784070909375673	0.2344045368620038	1.0
109_OMC-126	5.0	4.0	0.6917172761747101	0.2315296566077003	0.967741935483871
10_OMC-126	3.0	3.0	0.3605598643755746	0.10631001371742121	0.9814814814814815
110_OMC-126	3.0	3.0	0.7967286463062392	0.3219564633163128	0.9836065573770492
111_OMC-126	2.0	2.0	0.6024308020404453	0.25086505190311414	1.0
112_OMC-126	2.0	2.0	0.6394571324851642	0.27173119065010964	1.0
113_OMC-126	2.0	2.0	0.33352200393097664	0.11550295857988169	1.0
114_OMC-126	2.0	2.0	0.7642045065086203	0.345679012345679	1.0
115_OMC-126	2.0	2.0	0.5762914612174369	0.2364421092137361	1.0
116_OMC-126	4.0	4.0	0.9055083230070924	0.3175582990397806	0.9814814814814815
117_OMC-126	2.0	2.0	0.6292492238560347	0.2659279778393353	1.0
118_OMC-126	3.0	3.0	1.0377724203178629	0.43621399176954734	1.0
119_OMC-126	3.0	3.0	0.48953863320020075	0.15326947105372757	1.0
11_OMC-126	3.0	3.0	0.785235442391543	0.2881944444444443	1.0
120_OMC-126	2.0	2.0	0.29367630985136955	0.09809750297265163	1.0
121_OMC-126	2.0	2.0	0.5435644431995964	0.21875	1.0
122_OMC-126	1.0	1.0	-0.0	0.0	1.0
123_OMC-126	2.0	2.0	0.2460225782203316	0.07830070803831746	1.0
124_OMC-126	2.0	2.0	0.6751914401458717	0.29234567901234576	1.0
125_OMC-126	2.0	2.0	0.4798320236161284	0.1854934601664684	1.0
126_OMC-126	2.0	2.0	0.49716776141607527	0.19438016528925628	1.0
127_OMC-126	2.0	2.0	0.5127091420308771	0.20244897959183672	1.0
128_OMC-126	3.0	3.0	0.7281883539132343	0.2827777777777777	0.9833333333333333
129_OMC-126	2.0	2.0	0.6436394131461666	0.27411986025262025	1.0
12_OMC-126	2.0	2.0	0.5032583347756457	0.19753086419753085	1.0
130_OMC-126	2.0	2.0	0.672294817075638	0.2906574394463668	1.0
131_OMC-126	2.0	2.0	0.6343095546405662	0.26880000000000015	1.0
132_OMC-126	2.0	2.0	0.6751914401458717	0.29234567901234576	1.0
133_OMC-126	2.0	2.0	0.7424875695421236	0.3324099722991689	1.0
134_OMC-126	2.0	2.0	0.5851569902762294	0.24130501692828554	1.0
135_OMC-126	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
136_OMC-126	2.0	2.0	0.4537163391869449	0.17233560090702937	1.0
137_OMC-126	2.0	2.0	0.5159469300074474	0.20414201183431957	1.0
138_OMC-126	2.0	2.0	0.4537163391869449	0.17233560090702937	1.0
139_OMC-126	2.0	2.0	0.49716776141607527	0.19438016528925628	1.0
13_OMC-126	2.0	2.0	0.584238811642856	0.24080000000000013	1.0
140_OMC-126	2.0	2.0	0.2811937964320427	0.09280190362879237	1.0
141_OMC-126	2.0	2.0	0.6880476235340796	0.2998750520616409	1.0
142_OMC-126	2.0	2.0	0.49716776141607527	0.19438016528925628	1.0
143_OMC-126	2.0	2.0	0.6193821946787638	0.2603550295857988	1.0
144_OMC-126	3.0	3.0	0.8865703508911297	0.3288241415192509	1.0
145_OMC-126	2.0	2.0	0.4537163391869449	0.17233560090702937	1.0
146_OMC-126	3.0	3.0	0.3605598643755746	0.10631001371742121	0.9814814814814815
147_OMC-126	2.0	2.0	0.5363596511250623	0.21491045397750952	1.0
148_OMC-126	3.0	3.0	0.7804828278806267	0.30653894210745514	0.9795918367346939
149_OMC-126	2.0	2.0	0.48206614808309317	0.18663194444444442	1.0
14_OMC-126	2.0	2.0	0.672294817075638	0.2906574394463668	1.0
150_OMC-126	2.0	2.0	0.5509844433017146	0.222725215029425	1.0
151_OMC-126	2.0	2.0	0.5328350630342235	0.21303948576675857	1.0
152_OMC-126	2.0	2.0	0.6152538910563409	0.25803402646502827	1.0
153_OMC-126	2.0	2.0	0.7732266742876345	0.35123966942148765	1.0
154_OMC-126	2.0	2.0	0.6500224216483541	0.2777777777777777	1.0
155_OMC-126	3.0	3.0	0.6784070909375673	0.2344045368620038	1.0
156_OMC-126	3.0	3.0	0.7486345514120754	0.28458049886621306	0.9761904761904762
157_OMC-126	2.0	2.0	0.5363596511250623	0.21491045397750952	1.0
158_OMC-126	2.0	2.0	0.2974722489192897	0.09972299168975085	1.0
159_OMC-126	2.0	2.0	0.4912373418243331	0.19132653061224492	1.0
15_OMC-126	2.0	2.0	0.2974722489192897	0.09972299168975085	1.0
