sample	group	chao1	observed_otus	shannon	simpson	goods_coverage
H-10	NW	4.99301	4.99301	0.320028	0.0877095	0.999
H-118	NW	2.74575	2.60939	0.00622102	0.00096155	0.998897
H-119	NW	3.87213	3.75425	0.208812	0.0532458	0.998447
H-120	NW	5.60356	5.58442	0.79555	0.233883	0.997535
H-161	NW	1.7972	1.7972	0.524841	0.227538	0.978645
H-193	NW	4.67932	4.61838	0.155439	0.0368323	0.998879
H-314	NW	3.996	3.996	1.57792	0.617877	0.999001
O-121	O	3.24775	3.24675	0.100014	0.024222	0.998983
O-122	O	3.81718	3.81718	0.231888	0.0599233	0.99876
O-123	O	5.97602	5.97602	1.28195	0.506468	0.99877
O-152	O	7.98801	7.98801	2.17038	0.754425	0.999001
O-39	O	6.3678	6.33467	0.23975	0.0569187	0.998932
O-418	O	0.999001	0.999001	0	0	0.999001
O-420	O	2.52847	2.28272	0.102783	0.0253482	0.990626
O-434	O	2.996	2.996	0.696191	0.242663	0.999001
O-445	O	1.68631	1.68631	0.198149	0.0673614	0.992194
OMC-124	OMS	1.88212	1.88012	0.686662	0.316601	0.95111
OMC-125	OMS	2.7982	2.7982	1.12851	0.487576	0.99577
OMC-126	OMS	2.40509	2.37962	0.586664	0.229551	0.993809
OMC-288	OMS	4.995	4.995	1.72935	0.663595	0.999001
OMC-446	OMS	3.95704	3.95604	0.0425183	0.00822484	0.99896
OMC-55	OMS	1.8032	1.8032	0.562047	0.250568	0.985897
