	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-120	19.142857142857142	19.0	3.4088035476139407	0.8637682968696359	0.9888268156424581
100_H-120	19.5	18.0	3.4128065174194275	0.8765644018601167	0.9776536312849162
101_H-120	21.0	18.0	3.15162953354377	0.8172222222222222	0.9777777777777777
102_H-120	20.0	17.0	3.2285967003961673	0.8416604395887552	0.9796954314720813
103_H-120	22.666666666666668	21.0	3.2893522875030703	0.8402174753278878	0.9746192893401016
104_H-120	13.0	13.0	3.043328863555705	0.8225077479338843	0.9943181818181818
105_H-120	29.5	19.0	3.2003513373359596	0.824356961719599	0.9615384615384616
106_H-120	17.166666666666668	17.0	3.3123768204164765	0.8648097132945618	0.98989898989899
107_H-120	18.166666666666668	18.0	3.3016419149746716	0.8342357201764137	0.9880239520958084
108_H-120	18.0	18.0	3.420496413594985	0.8696833648393194	0.9945652173913043
109_H-120	20.333333333333332	17.0	3.0383674542396846	0.813573407202216	0.9736842105263158
10_H-120	20.5	20.0	3.1610221590254812	0.804716784673053	0.9846938775510204
110_H-120	19.0	18.0	3.451900111950216	0.8775510204081632	0.9821428571428571
111_H-120	17.6	17.0	3.309369875735913	0.8611025832200342	0.9801324503311258
112_H-120	16.0	16.0	3.120967153838578	0.8236884802595998	0.9941860465116279
113_H-120	17.75	17.0	3.1656749736525227	0.8366743146962927	0.9835164835164835
114_H-120	18.6	18.0	3.139579609464868	0.8286974053008572	0.9878542510121457
115_H-120	14.0	14.0	3.024813921360899	0.8233074715697737	0.9948453608247423
116_H-120	17.0	16.0	3.108569721377686	0.822620140801959	0.9848484848484849
117_H-120	17.75	17.0	3.213411566869794	0.8400971210544572	0.9838709677419355
118_H-120	21.0	18.0	3.1977341508350814	0.8287509130752374	0.9783783783783784
119_H-120	20.0	17.0	3.3576965899447013	0.8731668648434403	0.9770114942528736
11_H-120	19.75	19.0	3.5098125317948026	0.8808823941099073	0.9841269841269842
120_H-120	18.0	15.0	3.1038958175946396	0.8448210372534697	0.9783783783783784
121_H-120	20.0	17.0	3.26306778535965	0.8514967860422405	0.9757575757575757
122_H-120	17.2	17.0	3.3475064645711123	0.8631996863052642	0.9900990099009901
123_H-120	17.2	17.0	3.1901664564903713	0.8385724852071006	0.9903846153846154
124_H-120	17.0	16.0	3.2401764948500915	0.8498330672085934	0.9819277108433735
125_H-120	20.5	19.0	3.365948313482969	0.8587156889977526	0.9798994974874372
126_H-120	17.0	16.0	3.225960965243878	0.8473614297790122	0.9835164835164835
127_H-120	23.75	20.0	3.3620751232847614	0.8554201345048829	0.9695431472081218
128_H-120	26.5	19.0	3.2833435390310344	0.852398599537274	0.9728506787330317
129_H-120	19.0	16.0	3.246222283984583	0.845924644367551	0.9852941176470589
12_H-120	16.0	16.0	3.1011094888221242	0.8192434696233456	0.9948186528497409
