	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-420	0.0	0.0	nan	nan	nan
100_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
101_O-420	3.0	2.0	1.0	0.5	0.0
102_O-420	1.0	1.0	-0.0	0.0	0.0
103_O-420	1.0	1.0	-0.0	0.0	0.0
104_O-420	3.0	2.0	1.0	0.5	0.0
105_O-420	3.0	2.0	1.0	0.5	0.0
106_O-420	1.0	1.0	-0.0	0.0	0.0
107_O-420	0.0	0.0	nan	nan	nan
108_O-420	1.0	1.0	-0.0	0.0	0.0
109_O-420	1.0	1.0	-0.0	0.0	0.0
10_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
110_O-420	3.0	2.0	1.0	0.5	0.0
111_O-420	1.0	1.0	-0.0	0.0	0.0
112_O-420	1.0	1.0	-0.0	0.0	0.0
113_O-420	1.0	1.0	-0.0	0.0	0.0
114_O-420	1.0	1.0	-0.0	0.0	0.0
115_O-420	3.0	2.0	1.0	0.5	0.0
116_O-420	3.0	2.0	1.0	0.5	0.0
117_O-420	1.0	1.0	-0.0	0.0	0.0
118_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
119_O-420	3.0	2.0	1.0	0.5	0.0
11_O-420	3.0	2.0	1.0	0.5	0.0
120_O-420	0.0	0.0	nan	nan	nan
121_O-420	1.0	1.0	-0.0	0.0	0.0
122_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
123_O-420	3.0	2.0	1.0	0.5	0.0
124_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
125_O-420	1.0	1.0	-0.0	0.0	0.0
126_O-420	3.0	2.0	1.0	0.5	0.0
127_O-420	1.0	1.0	-0.0	0.0	0.0
128_O-420	1.0	1.0	-0.0	0.0	0.0
129_O-420	0.0	0.0	nan	nan	nan
12_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
130_O-420	1.0	1.0	-0.0	0.0	0.0
131_O-420	3.0	2.0	1.0	0.5	0.0
132_O-420	3.0	2.0	1.0	0.5	0.0
133_O-420	3.0	2.0	1.0	0.5	0.0
134_O-420	1.0	1.0	-0.0	0.0	0.0
135_O-420	1.0	1.0	-0.0	0.0	0.0
136_O-420	0.0	0.0	nan	nan	nan
137_O-420	1.0	1.0	-0.0	0.0	0.0
138_O-420	1.0	1.0	-0.0	0.0	0.0
139_O-420	3.0	2.0	1.0	0.5	0.0
13_O-420	0.0	0.0	nan	nan	nan
140_O-420	1.0	1.0	-0.0	0.0	0.0
141_O-420	3.0	2.0	1.0	0.5	0.0
142_O-420	3.0	2.0	1.0	0.5	0.0
143_O-420	1.0	1.0	-0.0	0.0	0.0
144_O-420	1.0	1.0	-0.0	0.0	0.0
145_O-420	3.0	2.0	1.0	0.5	0.0
146_O-420	3.0	2.0	1.0	0.5	0.0
147_O-420	0.0	0.0	nan	nan	nan
148_O-420	3.0	2.0	1.0	0.5	0.0
149_O-420	3.0	2.0	1.0	0.5	0.0
14_O-420	3.0	2.0	1.0	0.5	0.0
150_O-420	3.0	2.0	1.0	0.5	0.0
151_O-420	0.0	0.0	nan	nan	nan
152_O-420	3.0	2.0	1.0	0.5	0.0
153_O-420	3.0	2.0	1.0	0.5	0.0
154_O-420	3.0	2.0	1.0	0.5	0.0
155_O-420	3.0	2.0	1.0	0.5	0.0
156_O-420	0.0	0.0	nan	nan	nan
157_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
158_O-420	3.0	2.0	1.0	0.5	0.0
159_O-420	1.0	1.0	-0.0	0.0	0.0
15_O-420	1.0	1.0	-0.0	0.0	0.0
160_O-420	3.0	2.0	1.0	0.5	0.0
161_O-420	3.0	2.0	1.0	0.5	0.0
162_O-420	3.0	2.0	1.0	0.5	0.0
163_O-420	0.0	0.0	nan	nan	nan
164_O-420	3.0	2.0	1.0	0.5	0.0
165_O-420	1.0	1.0	-0.0	0.0	0.0
166_O-420	1.0	1.0	-0.0	0.0	0.0
167_O-420	3.0	2.0	1.0	0.5	0.0
168_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
169_O-420	3.0	2.0	1.0	0.5	0.0
16_O-420	3.0	2.0	1.0	0.5	0.0
