	chao1	observed_otus	shannon	simpson	goods_coverage
1000_OMC-125	7.0	7.0	2.523822909896159	0.7990487514863258	0.9655172413793104
100_OMC-125	8.0	8.0	2.780802200645567	0.8336620644312952	1.0
101_OMC-125	4.0	4.0	1.9182958340544896	0.7222222222222222	1.0
102_OMC-125	6.0	6.0	2.3647869792568113	0.7743055555555556	1.0
103_OMC-125	6.0	6.0	2.5116983467049905	0.81640625	1.0
104_OMC-125	5.0	5.0	1.7332062193464952	0.595	0.95
105_OMC-125	6.0	6.0	2.323934896284056	0.7743055555555556	0.9583333333333334
106_OMC-125	6.0	6.0	2.3399229603149934	0.7809917355371901	0.9545454545454546
107_OMC-125	4.0	4.0	1.3976931442604226	0.5	1.0
108_OMC-125	7.0	7.0	2.530530577440118	0.8062283737024221	0.9705882352941176
109_OMC-125	5.0	5.0	2.040566667888155	0.7304890738813736	0.967741935483871
10_OMC-125	6.0	6.0	2.4041444620679115	0.7942925089179549	1.0
110_OMC-125	7.0	7.0	2.599011412296561	0.8052930056710775	1.0
111_OMC-125	6.0	6.0	2.4200073672827593	0.7951020408163265	1.0
112_OMC-125	6.0	6.0	2.315738006876835	0.7727272727272727	0.9545454545454546
113_OMC-125	7.5	7.0	2.3367146307938143	0.75390625	0.9375
114_OMC-125	6.0	6.0	2.3640054628542213	0.78125	1.0
115_OMC-125	6.0	6.0	2.5332594697016404	0.822265625	1.0
116_OMC-125	6.0	6.0	2.503701696057348	0.815	1.0
117_OMC-125	7.0	7.0	2.5095443353562694	0.7908163265306123	0.9642857142857143
118_OMC-125	6.0	6.0	2.449082295352821	0.8020833333333333	1.0
119_OMC-125	6.0	6.0	2.465076031862108	0.8061224489795918	1.0
11_OMC-125	5.0	5.0	2.1352130207431887	0.7465277777777778	1.0
120_OMC-125	8.0	8.0	2.7326989697283937	0.8254437869822485	0.9615384615384616
121_OMC-125	7.0	7.0	2.7670554003803076	0.8494809688581315	1.0
122_OMC-125	5.0	5.0	2.0213152774012366	0.7104	1.0
123_OMC-125	6.0	6.0	2.255480936430936	0.7657142857142858	0.9714285714285714
124_OMC-125	7.0	7.0	2.5354854066472052	0.8062442607897153	0.9696969696969697
125_OMC-125	7.0	7.0	2.3618441805721897	0.7664359861591695	0.9705882352941176
126_OMC-125	7.0	7.0	2.5621169890711712	0.80875	1.0
127_OMC-125	8.0	8.0	2.7898966090601776	0.8355387523629489	0.9565217391304348
128_OMC-125	5.0	5.0	1.9528195311147833	0.6796875	1.0
129_OMC-125	5.0	5.0	1.9875168162362657	0.7118055555555556	0.9583333333333334
12_OMC-125	6.0	6.0	2.4777847249797347	0.8114186851211073	1.0
130_OMC-125	6.0	6.0	2.401052243598735	0.7906574394463668	1.0
131_OMC-125	7.0	7.0	2.5503407095463886	0.7933884297520661	1.0
132_OMC-125	5.0	5.0	2.1887218755408675	0.7638888888888888	1.0
133_OMC-125	7.0	7.0	2.343257873344267	0.7474048442906575	1.0
134_OMC-125	7.0	7.0	2.5245001853346145	0.8055555555555556	0.9722222222222222
135_OMC-125	9.0	8.0	2.698535967652884	0.8312	0.96
136_OMC-125	7.0	7.0	2.6848100275039117	0.831360946745562	1.0
137_OMC-125	6.0	6.0	2.408694969562842	0.7949999999999999	0.95
138_OMC-125	5.0	5.0	1.9126177517475977	0.6866666666666666	1.0
139_OMC-125	7.0	7.0	2.684017280829845	0.8344671201814059	0.9523809523809523
13_OMC-125	4.0	4.0	1.7219280948873625	0.6599999999999999	1.0
140_OMC-125	6.0	6.0	2.386115892633962	0.7863894139886578	1.0
141_OMC-125	6.0	6.0	2.3874034881193746	0.7787993510005409	1.0
142_OMC-125	5.0	5.0	2.0626563480372724	0.7148760330578512	1.0
143_OMC-125	8.0	8.0	2.763621513603901	0.8365650969529086	0.9736842105263158
144_OMC-125	5.0	5.0	2.199079570624175	0.768	1.0
145_OMC-125	7.0	7.0	2.492312106790079	0.7887617065556711	0.967741935483871
146_OMC-125	6.0	6.0	2.4126878900165245	0.794921875	1.0
147_OMC-125	7.0	7.0	2.5562347841557007	0.8024691358024691	1.0
148_OMC-125	5.0	5.0	2.024988766373815	0.724609375	1.0
149_OMC-125	7.0	7.0	2.6378038185067956	0.823045267489712	1.0
14_OMC-125	7.333333333333333	7.0	2.4022921890824147	0.7712	0.92
150_OMC-125	7.0	7.0	2.649794462043571	0.8254847645429364	0.9473684210526316
151_OMC-125	7.0	7.0	2.628427643377165	0.828125	0.96875
152_OMC-125	6.0	6.0	2.263865121950854	0.755	0.95
