	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-193	0.0	0.0	nan	nan	nan
100_H-193	1.0	1.0	-0.0	0.0	1.0
101_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
102_H-193	0.0	0.0	nan	nan	nan
103_H-193	1.0	1.0	-0.0	0.0	0.0
104_H-193	1.0	1.0	-0.0	0.0	0.0
105_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
106_H-193	1.0	1.0	-0.0	0.0	0.0
107_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
108_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
109_H-193	0.0	0.0	nan	nan	nan
10_H-193	0.0	0.0	nan	nan	nan
110_H-193	1.0	1.0	-0.0	0.0	1.0
111_H-193	1.0	1.0	-0.0	0.0	1.0
112_H-193	0.0	0.0	nan	nan	nan
113_H-193	0.0	0.0	nan	nan	nan
114_H-193	0.0	0.0	nan	nan	nan
115_H-193	3.5	3.0	1.5	0.625	0.5
116_H-193	1.0	1.0	-0.0	0.0	1.0
117_H-193	3.0	2.0	1.0	0.5	0.0
118_H-193	0.0	0.0	nan	nan	nan
119_H-193	3.0	2.0	1.0	0.5	0.0
11_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
120_H-193	2.0	2.0	0.8112781244591328	0.375	0.75
121_H-193	0.0	0.0	nan	nan	nan
122_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
123_H-193	0.0	0.0	nan	nan	nan
124_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
125_H-193	0.0	0.0	nan	nan	nan
126_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
127_H-193	1.0	1.0	-0.0	0.0	0.0
128_H-193	0.0	0.0	nan	nan	nan
129_H-193	0.0	0.0	nan	nan	nan
12_H-193	1.0	1.0	-0.0	0.0	0.0
130_H-193	3.0	2.0	1.0	0.5	0.0
131_H-193	0.0	0.0	nan	nan	nan
132_H-193	1.0	1.0	-0.0	0.0	0.0
133_H-193	1.0	1.0	-0.0	0.0	1.0
134_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
135_H-193	0.0	0.0	nan	nan	nan
136_H-193	0.0	0.0	nan	nan	nan
137_H-193	3.0	2.0	1.0	0.5	0.0
138_H-193	1.0	1.0	-0.0	0.0	1.0
139_H-193	1.0	1.0	-0.0	0.0	1.0
13_H-193	4.0	3.0	1.370950594454669	0.5599999999999999	0.6
140_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
141_H-193	2.0	2.0	1.0	0.5	1.0
142_H-193	3.5	3.0	1.5	0.625	0.5
143_H-193	1.0	1.0	-0.0	0.0	1.0
144_H-193	1.0	1.0	-0.0	0.0	0.0
145_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
146_H-193	1.0	1.0	-0.0	0.0	0.0
147_H-193	2.0	2.0	0.7219280948873623	0.31999999999999984	0.8
148_H-193	4.0	3.0	1.2516291673878228	0.5	0.6666666666666667
149_H-193	1.0	1.0	-0.0	0.0	1.0
14_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
150_H-193	1.0	1.0	-0.0	0.0	0.0
151_H-193	0.0	0.0	nan	nan	nan
152_H-193	0.0	0.0	nan	nan	nan
153_H-193	0.0	0.0	nan	nan	nan
154_H-193	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
155_H-193	1.0	1.0	-0.0	0.0	0.0
156_H-193	0.0	0.0	nan	nan	nan
157_H-193	0.0	0.0	nan	nan	nan
158_H-193	0.0	0.0	nan	nan	nan
159_H-193	1.0	1.0	-0.0	0.0	1.0
15_H-193	2.0	2.0	0.9709505944546688	0.48	1.0
160_H-193	0.0	0.0	nan	nan	nan
161_H-193	1.0	1.0	-0.0	0.0	0.0
162_H-193	0.0	0.0	nan	nan	nan
163_H-193	1.0	1.0	-0.0	0.0	1.0
164_H-193	0.0	0.0	nan	nan	nan
