	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-152	9.0	8.0	2.226607376674582	0.7465561224489796	0.9964285714285714
100_O-152	6.0	6.0	2.0699457675858612	0.7266592232460852	1.0
101_O-152	6.0	6.0	2.0219190379986163	0.7201917995751186	1.0
102_O-152	7.0	7.0	2.1569711629627473	0.7414735980635921	1.0
103_O-152	7.0	7.0	2.1036959535919593	0.7317038844060799	0.9982876712328768
104_O-152	7.0	7.0	2.03176252972172	0.710480109739369	0.9981481481481481
105_O-152	8.0	7.0	2.073202432503029	0.7295214067988607	0.996219281663516
106_O-152	6.0	6.0	2.1656975403733063	0.746065296566077	1.0
107_O-152	6.0	6.0	2.136557530104129	0.7408867715920916	1.0
108_O-152	7.0	7.0	2.1019159440635478	0.7285882981685287	0.998211091234347
109_O-152	6.0	6.0	2.0637327123418854	0.7235857457545033	1.0
10_O-152	6.0	6.0	2.190804253595272	0.7495008174889435	1.0
110_O-152	7.0	7.0	2.1954814014640736	0.7443053805169396	0.9982046678635548
111_O-152	7.0	7.0	2.1066503415624047	0.7268461795500112	0.9981343283582089
112_O-152	9.0	8.0	2.0964630652367733	0.7218584294251325	0.9963302752293578
113_O-152	9.0	8.0	2.126738957557669	0.7326685335701113	0.9958677685950413
114_O-152	7.0	7.0	2.193055463674344	0.7428543803622362	1.0
115_O-152	7.0	7.0	2.157941629980642	0.742697520661157	1.0
116_O-152	8.0	8.0	2.181041141777628	0.7370550189455414	0.9981515711645101
117_O-152	6.0	6.0	2.1944965694465655	0.7560115060685327	1.0
118_O-152	7.0	7.0	2.0980716721168813	0.729610940289625	0.9982394366197183
119_O-152	7.0	7.0	2.195780368836037	0.750672651712931	1.0
11_O-152	7.0	7.0	2.1772853400761565	0.7425986970582261	1.0
120_O-152	9.0	8.0	2.1175825177118472	0.7238496972206407	0.9964028776978417
121_O-152	9.0	8.0	2.1345996326388126	0.7303627640770979	0.9963302752293578
122_O-152	7.0	7.0	2.1969433441279542	0.7452114836730221	0.9982905982905983
123_O-152	7.0	7.0	2.030933548642855	0.7183290816326531	0.9982142857142857
124_O-152	7.0	7.0	2.2122063052673906	0.7502034026465029	1.0
125_O-152	6.0	6.0	2.149440862442721	0.7386172006745362	1.0
126_O-152	7.0	7.0	2.188731415985065	0.744784057706355	1.0
127_O-152	6.0	6.0	2.0625247079164204	0.7243987893595145	1.0
128_O-152	7.0	7.0	2.065316726362114	0.7120003916223729	1.0
129_O-152	7.0	7.0	2.1123463853853974	0.7376834184359043	0.9983606557377049
12_O-152	7.0	7.0	2.1361696690483574	0.7374795042438271	1.0
130_O-152	7.0	7.0	2.1369682023838146	0.7367781345446003	0.9982300884955753
131_O-152	6.0	6.0	2.049099712390564	0.7259526008002463	1.0
132_O-152	7.0	7.0	2.1210767798805894	0.7355335013652594	0.9981884057971014
133_O-152	7.0	7.0	2.152224510477287	0.7320623944876503	0.9979879275653923
134_O-152	10.0	9.0	2.124218536136565	0.716779580198476	0.9964221824686941
135_O-152	12.0	9.0	2.167967749655222	0.7351220455216059	0.994475138121547
136_O-152	7.0	7.0	2.154541265533012	0.7404743060659167	0.9981203007518797
137_O-152	7.0	7.0	2.1261824088101777	0.7356410222992611	0.9981949458483754
138_O-152	6.0	6.0	2.1222078366708166	0.7352540426106932	1.0
139_O-152	7.0	7.0	2.1204582817809334	0.7274184992283951	0.9982638888888888
13_O-152	9.0	8.0	2.1329730773361373	0.7347655429531611	0.9963768115942029
140_O-152	7.0	7.0	2.2171954153038556	0.7510126086616022	1.0
141_O-152	6.0	6.0	2.117294047897499	0.7282426459381193	1.0
142_O-152	7.0	7.0	2.081280148828861	0.7314642486149585	0.9983552631578947
143_O-152	8.0	8.0	2.169138775661878	0.7365465034644851	0.998158379373849
144_O-152	7.0	7.0	2.2040160516520553	0.7507583536739332	1.0
145_O-152	7.0	7.0	2.1526091267567007	0.7379795329598552	1.0
146_O-152	6.0	6.0	2.087675890516274	0.7316988863244386	1.0
147_O-152	7.0	7.0	2.147576092587061	0.7353508491599707	0.9983108108108109
148_O-152	7.0	7.0	2.2003833809774926	0.7512168739859383	0.998062015503876
149_O-152	7.0	7.0	2.1634937933255465	0.7441188825876917	0.9981884057971014
14_O-152	7.0	7.0	2.082028792080845	0.7222666666666666	0.9983333333333333
150_O-152	7.0	7.0	2.11752812592893	0.7314590022711254	1.0
151_O-152	9.0	8.0	2.1230629178550604	0.7291022632106781	0.9967845659163987
152_O-152	7.0	7.0	2.1165121017199082	0.7346360608615138	0.9981412639405205
153_O-152	6.0	6.0	2.024043287503732	0.7173152958860243	0.9983498349834984
154_O-152	7.0	7.0	2.1231001043537	0.7319950131426078	1.0
155_O-152	8.0	8.0	2.1036949481736977	0.7273110100297785	0.9981718464351006
156_O-152	7.0	7.0	2.1347428698203053	0.7331142381354524	0.998158379373849
157_O-152	6.0	6.0	2.07160355383802	0.7218271047213998	1.0
158_O-152	9.0	8.0	2.1398003938816164	0.7372376062620991	0.9963302752293578
159_O-152	6.0	6.0	2.075004509161454	0.7293968253968254	1.0
15_O-152	7.0	7.0	2.2341260260505504	0.7578667084344898	1.0
160_O-152	6.0	6.0	2.0929542175026614	0.7312828681456027	1.0
161_O-152	7.0	7.0	2.1109061011463623	0.729503553816072	1.0
162_O-152	7.0	7.0	2.074933843806719	0.7231230155175332	0.9981785063752276
163_O-152	6.0	6.0	2.0922397269841584	0.7331313775510204	1.0
