	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-10	1.0	1.0	-0.0	0.0	1.0
100_H-10	2.0	2.0	0.4138168503036338	0.1527777777777779	0.9166666666666666
101_H-10	1.0	1.0	-0.0	0.0	1.0
102_H-10	1.0	1.0	-0.0	0.0	1.0
103_H-10	2.0	2.0	0.3912435636292556	0.14201183431952646	0.9230769230769231
104_H-10	2.0	2.0	0.3912435636292556	0.14201183431952646	0.9230769230769231
105_H-10	2.0	2.0	0.4138168503036338	0.1527777777777779	0.9166666666666666
106_H-10	2.0	2.0	0.4138168503036338	0.1527777777777779	0.9166666666666666
107_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
108_H-10	2.0	2.0	0.8112781244591328	0.375	0.75
109_H-10	1.0	1.0	-0.0	0.0	1.0
10_H-10	2.0	2.0	0.9182958340544894	0.4444444444444444	0.6666666666666667
110_H-10	1.0	1.0	-0.0	0.0	1.0
111_H-10	2.0	2.0	0.3712323266408757	0.13265306122448983	0.9285714285714286
112_H-10	2.0	2.0	0.5435644431995964	0.21875	0.875
113_H-10	1.0	1.0	-0.0	0.0	1.0
114_H-10	1.0	1.0	-0.0	0.0	1.0
115_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
116_H-10	1.0	1.0	-0.0	0.0	1.0
117_H-10	1.0	1.0	-0.0	0.0	1.0
118_H-10	1.0	1.0	-0.0	0.0	1.0
119_H-10	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
11_H-10	2.0	2.0	0.5032583347756457	0.19753086419753085	0.8888888888888888
120_H-10	2.0	2.0	0.6500224216483541	0.2777777777777777	0.8333333333333334
121_H-10	2.0	2.0	0.43949698692151334	0.16528925619834722	0.9090909090909091
122_H-10	1.0	1.0	-0.0	0.0	1.0
123_H-10	2.0	2.0	0.5435644431995964	0.21875	0.875
124_H-10	2.0	2.0	0.5032583347756457	0.19753086419753085	0.8888888888888888
125_H-10	1.0	1.0	-0.0	0.0	1.0
126_H-10	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
127_H-10	1.0	1.0	-0.0	0.0	1.0
128_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
129_H-10	2.0	2.0	0.7219280948873623	0.31999999999999984	0.8
12_H-10	1.0	1.0	-0.0	0.0	1.0
130_H-10	2.0	2.0	0.4138168503036338	0.1527777777777779	0.9166666666666666
131_H-10	2.0	2.0	0.7219280948873623	0.31999999999999984	0.8
132_H-10	2.0	2.0	0.5435644431995964	0.21875	0.875
133_H-10	2.0	2.0	0.7219280948873623	0.31999999999999984	0.8
134_H-10	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
135_H-10	1.0	1.0	-0.0	0.0	1.0
136_H-10	1.0	1.0	-0.0	0.0	1.0
137_H-10	1.0	1.0	-0.0	0.0	1.0
138_H-10	1.0	1.0	-0.0	0.0	1.0
139_H-10	1.0	1.0	-0.0	0.0	1.0
13_H-10	2.0	2.0	0.6500224216483541	0.2777777777777777	0.8333333333333334
140_H-10	1.0	1.0	-0.0	0.0	1.0
141_H-10	2.0	2.0	0.5435644431995964	0.21875	0.875
142_H-10	1.0	1.0	-0.0	0.0	1.0
143_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
144_H-10	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
145_H-10	2.0	2.0	0.6500224216483541	0.2777777777777777	0.8333333333333334
146_H-10	2.0	2.0	0.5032583347756457	0.19753086419753085	0.8888888888888888
147_H-10	1.0	1.0	-0.0	0.0	1.0
148_H-10	1.0	1.0	-0.0	0.0	1.0
149_H-10	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
14_H-10	1.0	1.0	-0.0	0.0	1.0
150_H-10	1.0	1.0	-0.0	0.0	1.0
151_H-10	2.0	2.0	0.43949698692151334	0.16528925619834722	0.9090909090909091
152_H-10	2.0	2.0	0.5032583347756457	0.19753086419753085	0.8888888888888888
153_H-10	1.0	1.0	-0.0	0.0	1.0
154_H-10	1.0	1.0	-0.0	0.0	1.0
155_H-10	1.0	1.0	-0.0	0.0	1.0
156_H-10	1.0	1.0	-0.0	0.0	1.0
157_H-10	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
158_H-10	2.0	2.0	0.46899559358928117	0.17999999999999994	0.9
159_H-10	1.0	1.0	-0.0	0.0	1.0
15_H-10	2.0	2.0	0.5435644431995964	0.21875	0.875
160_H-10	1.0	1.0	-0.0	0.0	1.0
161_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
162_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
163_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
164_H-10	1.0	1.0	-0.0	0.0	1.0
165_H-10	2.0	2.0	0.5916727785823274	0.24489795918367352	0.8571428571428572
166_H-10	1.0	1.0	-0.0	0.0	1.0
