	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-123	9.333333333333334	9.0	2.1684271019269996	0.6578449905482042	0.9710144927536232
100_O-123	13.0	10.0	2.017779198605278	0.5941077125164196	0.9452054794520548
101_O-123	11.5	10.0	2.100842830694606	0.6113717395383749	0.9589041095890412
102_O-123	9.5	8.0	1.8566313683063025	0.6042409457684368	0.9589041095890412
103_O-123	10.25	10.0	2.1040354094612472	0.6086094028962508	0.971830985915493
104_O-123	9.5	9.0	2.097286114805897	0.6245074122724713	0.9726027397260274
105_O-123	10.5	9.0	1.9577143236301318	0.6012385062863578	0.9589041095890412
106_O-123	10.333333333333334	10.0	2.1727624847281835	0.6275098517545505	0.9726027397260274
107_O-123	9.5	9.0	1.9923231636748162	0.5929817977106399	0.9726027397260274
108_O-123	9.333333333333334	9.0	2.0096781453240093	0.6057421655094766	0.9726027397260274
109_O-123	10.5	9.0	1.9038267849335266	0.5749671608181648	0.9589041095890412
10_O-123	16.0	10.0	2.0758663953767407	0.607419162864511	0.9436619718309859
110_O-123	11.0	10.0	2.1207046028937637	0.6331394257834491	0.9589041095890412
111_O-123	11.5	10.0	2.1098157352432856	0.6121223494088948	0.9589041095890412
112_O-123	9.5	9.0	2.1139891919941327	0.6357665603302683	0.9726027397260274
113_O-123	10.5	9.0	2.063845885024089	0.6362218756961462	0.9552238805970149
114_O-123	11.5	10.0	2.051354286360907	0.5931362824836343	0.9577464788732395
115_O-123	9.333333333333334	9.0	1.954704210874771	0.5839109430791851	0.9710144927536232
116_O-123	9.5	9.0	2.0376486108030014	0.6079939951210358	0.9726027397260274
117_O-123	11.5	10.0	2.178867700329767	0.6391443047476074	0.9589041095890412
118_O-123	10.5	9.0	1.9438124268764037	0.5871850823249356	0.9577464788732395
119_O-123	9.25	9.0	1.9384410305643012	0.5830707834488553	0.9710144927536232
11_O-123	12.0	9.0	1.9993372206368385	0.6053668605742166	0.9589041095890412
120_O-123	15.0	9.0	1.9540888098425917	0.6019891161568776	0.9452054794520548
121_O-123	11.0	10.0	2.12928230797809	0.6305398025624869	0.9565217391304348
122_O-123	11.0	10.0	2.0578450109033604	0.6023944549464397	0.9565217391304348
123_O-123	9.0	8.0	1.89955182032615	0.5855980956159492	0.971830985915493
124_O-123	9.25	9.0	1.9720908241901118	0.5998809759968261	0.971830985915493
125_O-123	11.0	10.0	2.0466215153516805	0.6057421655094766	0.9589041095890412
126_O-123	10.333333333333334	10.0	2.2194277639645685	0.6444897959183673	0.9714285714285714
127_O-123	8.333333333333334	8.0	1.8934800797568891	0.6072433852505159	0.9726027397260274
128_O-123	10.5	9.0	2.0422288006261113	0.6276532434040866	0.9577464788732395
129_O-123	9.333333333333334	9.0	1.971641314300475	0.5914805779696002	0.9726027397260274
12_O-123	8.333333333333334	8.0	1.8934800797568891	0.6072433852505159	0.9726027397260274
130_O-123	10.333333333333334	10.0	2.122892700207439	0.6124976543441547	0.9726027397260274
131_O-123	13.0	10.0	2.206838165808759	0.6413961343591668	0.9589041095890412
132_O-123	10.25	10.0	2.103895139277127	0.6109964346031151	0.9726027397260274
133_O-123	10.5	9.0	1.9874862721747615	0.5998739760554505	0.9565217391304348
134_O-123	10.25	10.0	2.1704680009861073	0.637267780071308	0.9726027397260274
135_O-123	11.5	10.0	2.139070968882121	0.6232890299543742	0.9577464788732395
136_O-123	9.5	9.0	2.1156734804381623	0.6357665603302683	0.9726027397260274
137_O-123	12.0	9.0	2.0347060458649793	0.616941083118429	0.9577464788732395
138_O-123	16.0	10.0	2.1223837296101173	0.6204578869985298	0.9420289855072463
139_O-123	11.5	10.0	2.177739349008038	0.6463003372346756	0.9577464788732395
13_O-123	10.5	9.0	2.0628201852337273	0.6320135109776693	0.9589041095890412
140_O-123	10.166666666666666	10.0	1.9536451770368872	0.5648979591836734	0.9714285714285714
141_O-123	10.0	9.0	1.9509824147523713	0.5949074074074074	0.9583333333333334
142_O-123	8.5	8.0	1.8827341225789263	0.5869769187464815	0.9726027397260274
143_O-123	11.5	10.0	2.1626039183178953	0.6372677800713079	0.9589041095890412
144_O-123	11.5	10.0	2.1777190285611865	0.6387689998123476	0.9589041095890412
145_O-123	12.0	10.0	2.0307119053110902	0.6133703630232098	0.9436619718309859
146_O-123	9.333333333333334	9.0	2.0888494253692085	0.6335147307187089	0.9726027397260274
147_O-123	11.0	8.0	1.8786124399203052	0.5974854569337587	0.9589041095890412
148_O-123	15.0	9.0	1.9543285012487028	0.5998809759968261	0.9436619718309859
149_O-123	12.0	9.0	2.051425637522628	0.6185280698274152	0.9577464788732395
14_O-123	13.0	10.0	2.044364021702632	0.6068680803152562	0.9452054794520548
150_O-123	10.5	9.0	2.0226672716076077	0.6161475897639357	0.9577464788732395
151_O-123	10.5	9.0	1.9769994938464044	0.6010712160285658	0.9577464788732395
152_O-123	11.0	10.0	2.022595920445887	0.5907558024201548	0.9577464788732395
153_O-123	12.0	9.0	2.0861133850922258	0.633514730718709	0.9589041095890412
154_O-123	9.5	9.0	2.0339104535931685	0.6032346145767695	0.9710144927536232
155_O-123	9.333333333333334	9.0	2.089962836641901	0.630119722747322	0.9710144927536232
156_O-123	10.5	9.0	1.9577143236301318	0.6012385062863578	0.9589041095890412
157_O-123	9.333333333333334	9.0	2.0397555539809686	0.618502533308313	0.9726027397260274
158_O-123	12.0	9.0	1.9259685725046987	0.5736956952985519	0.9577464788732395
159_O-123	11.0	10.0	2.106478367724487	0.622255582660912	0.9589041095890412
15_O-123	11.5	10.0	2.145011966055645	0.6353912553950085	0.9589041095890412
160_O-123	11.0	8.0	1.8606842530660932	0.5858510039407018	0.9589041095890412
161_O-123	10.25	10.0	2.1386498135545797	0.6245074122724714	0.9726027397260274
162_O-123	10.333333333333334	10.0	2.122892700207439	0.6124976543441547	0.9726027397260274
163_O-123	13.0	10.0	2.135568855142869	0.622495536599881	0.9577464788732395
164_O-123	10.2	10.0	2.090503571056208	0.6149968494013863	0.9710144927536232
165_O-123	10.5	9.0	2.0223829500886294	0.618127228373053	0.9589041095890412
166_O-123	10.5	9.0	2.098041326336151	0.6435231104939496	0.9577464788732395
167_O-123	9.0	8.0	1.9890002360362955	0.6157508430866891	0.971830985915493
168_O-123	13.0	10.0	2.0864605816495914	0.6193215631819085	0.9436619718309859
169_O-123	10.5	9.0	2.0122605804645097	0.6149573497321961	0.9577464788732395
16_O-123	9.333333333333334	9.0	1.9618360062887528	0.5907299680990805	0.9726027397260274
170_O-123	16.0	10.0	2.1062590193545763	0.6230061925314316	0.9452054794520548
171_O-123	11.5	10.0	2.137889940162313	0.6228922832771275	0.9577464788732395
172_O-123	15.0	9.0	1.9101313828528987	0.5873522236817413	0.9452054794520548
173_O-123	11.0	10.0	2.104001525705528	0.621880277725652	0.9589041095890412
174_O-123	10.5	9.0	2.0315517517963624	0.6149968494013862	0.9565217391304348
175_O-123	11.5	10.0	2.1434239991107003	0.625633327078251	0.9589041095890412
176_O-123	9.5	9.0	2.0376486108030014	0.6079939951210359	0.9726027397260274
177_O-123	9.333333333333334	9.0	2.075306484366911	0.630033723467566	0.971830985915493
178_O-123	9.333333333333334	9.0	2.081126685920068	0.6273148148148147	0.9722222222222222
179_O-123	11.0	10.0	2.096491299872425	0.6207543629198724	0.9589041095890412
17_O-123	11.0	8.0	1.996361312971734	0.6371751636580043	0.9577464788732395
180_O-123	11.0	10.0	2.0108213207471377	0.5891688157111685	0.9577464788732395
181_O-123	11.0	10.0	2.120329969464084	0.6196177273682	0.9565217391304348
182_O-123	10.25	10.0	2.1422092579880925	0.6228922832771276	0.971830985915493
183_O-123	12.0	9.0	2.0340918949142917	0.6188778382435729	0.9589041095890412
184_O-123	11.5	10.0	2.128308888867409	0.6241321073372115	0.9589041095890412
185_O-123	13.0	10.0	2.022705303675088	0.6022614560603056	0.9436619718309859
186_O-123	11.5	10.0	2.1674156924035866	0.6376430850065679	0.9589041095890412
187_O-123	10.2	10.0	2.02643583484842	0.5929817977106399	0.9726027397260274
188_O-123	8.0	7.0	1.8700662001287105	0.6065952530980887	0.9710144927536232
189_O-123	11.0	10.0	2.11184731202456	0.6316382060424095	0.9589041095890412
18_O-123	10.5	9.0	2.0542011375201565	0.6308875961718896	0.9589041095890412
190_O-123	9.5	9.0	1.959046256245498	0.5760761753620314	0.971830985915493
191_O-123	10.0	9.0	1.9911225313080267	0.6237568024019516	0.9589041095890412
192_O-123	10.333333333333334	10.0	2.2020294095527837	0.63684099978996	0.9710144927536232
193_O-123	9.25	9.0	2.004805298591541	0.6133703630232097	0.971830985915493
194_O-123	13.0	10.0	2.1713944645896923	0.6278851566898105	0.9589041095890412
195_O-123	13.0	10.0	2.0295651797648784	0.6049915556389567	0.9452054794520548
196_O-123	10.5	9.0	1.996268022779512	0.6034516960920453	0.9577464788732395
197_O-123	11.0	10.0	2.106478367724487	0.622255582660912	0.9589041095890412
198_O-123	9.5	9.0	2.150651713568681	0.6474905772664155	0.971830985915493
199_O-123	12.0	9.0	2.052793546078279	0.6189248165046618	0.9577464788732395
19_O-123	11.0	10.0	2.1484494989520773	0.6431263638167031	0.9577464788732395
1_O-123	10.0	9.0	1.9292269352195401	0.5982360668042785	0.9589041095890412
200_O-123	12.0	9.0	2.057052791476615	0.6301369863013699	0.9589041095890412
201_O-123	9.333333333333334	9.0	1.976890110617203	0.5895655623884151	0.971830985915493
202_O-123	10.333333333333334	10.0	2.131865604756119	0.6132482642146746	0.9726027397260274
203_O-123	12.0	9.0	1.990542149036692	0.6014679627058124	0.9577464788732395
204_O-123	10.5	9.0	2.044491207991069	0.6280499900813331	0.9577464788732395
205_O-123	11.0	8.0	1.9641008333174617	0.6324142035310454	0.9577464788732395
206_O-123	9.5	9.0	1.9964228141089329	0.5911525490974014	0.971830985915493
207_O-123	12.0	9.0	2.101379940629206	0.6340011902400318	0.9577464788732395
208_O-123	15.0	9.0	1.9743738771420765	0.6117833763142235	0.9436619718309859
209_O-123	12.0	9.0	1.9918269948037353	0.604240945768437	0.9589041095890412
20_O-123	10.5	9.0	1.9423028286829915	0.5896040532933007	0.9589041095890412
210_O-123	11.0	10.0	2.116599944041747	0.6233814974666917	0.9589041095890412
211_O-123	9.5	9.0	2.028675706254322	0.6072433852505161	0.9726027397260274
212_O-123	9.333333333333334	9.0	2.0888494253692085	0.633514730718709	0.9726027397260274
213_O-123	12.0	9.0	1.961300389613304	0.5911052730343404	0.9589041095890412
214_O-123	11.5	10.0	2.2173577855194027	0.6510612973616345	0.9577464788732395
215_O-123	9.333333333333334	9.0	1.9558898484951643	0.5871850823249356	0.971830985915493
216_O-123	11.0	10.0	2.0336868624234996	0.5944830174516795	0.9589041095890412
217_O-123	11.5	10.0	2.2265834479426925	0.6518547907161277	0.9577464788732395
218_O-123	9.5	9.0	2.052414208177142	0.6130541323234574	0.9701492537313433
219_O-123	13.0	10.0	2.2089218001137096	0.6399523903987305	0.9577464788732395
21_O-123	11.0	10.0	2.106478367724487	0.622255582660912	0.9589041095890412
220_O-123	13.0	10.0	1.9990385745744474	0.5918558829048601	0.9452054794520548
221_O-123	11.0	10.0	2.148418131473274	0.6361418652655282	0.9589041095890412
222_O-123	8.5	8.0	1.9484672704225268	0.6117833763142234	0.971830985915493
223_O-123	10.5	9.0	1.9495914447876417	0.5903546631638206	0.9589041095890412
224_O-123	10.5	9.0	1.9611633520184748	0.5969334173492963	0.9565217391304348
225_O-123	9.333333333333334	9.0	2.102078729085541	0.6318000420079815	0.9710144927536232
226_O-123	11.0	10.0	2.148418131473274	0.6361418652655282	0.9589041095890412
227_O-123	10.5	9.0	1.9775066994939166	0.6034903358979171	0.9589041095890412
228_O-123	10.5	9.0	1.9874862721747615	0.5998739760554506	0.9565217391304348
229_O-123	11.0	8.0	1.8607505879013129	0.5832176155524698	0.9577464788732395
22_O-123	11.0	10.0	2.070393261838113	0.6083693000562957	0.9589041095890412
230_O-123	9.5	9.0	1.9383682443814803	0.5708884688090738	0.9710144927536232
231_O-123	11.5	10.0	2.1507126152153506	0.6263839369487709	0.9589041095890412
232_O-123	11.0	10.0	2.148418131473274	0.6361418652655283	0.9589041095890412
233_O-123	9.333333333333334	9.0	1.9618360062887528	0.5907299680990805	0.9726027397260274
