	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-39	10.0	10.0	3.1659571010506276	0.8759617188966035	1.0
100_O-39	11.0	11.0	3.254719892333008	0.8848032174662454	0.9830508474576272
101_O-39	10.0	10.0	3.0199948941800847	0.8537455410225921	1.0
102_O-39	10.0	10.0	2.983589002168411	0.8459171597633135	0.9846153846153847
103_O-39	10.0	10.0	3.0724404811102217	0.8620037807183365	1.0
104_O-39	10.5	10.0	2.996105543878211	0.8565936178392926	0.9607843137254902
105_O-39	10.0	10.0	2.8400431339155867	0.8216666666666667	0.9833333333333333
106_O-39	10.0	10.0	3.1150664225842415	0.8737244897959184	0.9821428571428571
107_O-39	9.0	9.0	2.9309835614584006	0.8548387096774194	1.0
108_O-39	10.0	10.0	2.929706556916506	0.8402766065103727	0.987012987012987
109_O-39	11.0	11.0	3.097751673200125	0.8629704108014938	0.9830508474576272
10_O-39	10.0	10.0	3.1347092982428966	0.871037242228378	1.0
110_O-39	11.0	11.0	3.142161162920047	0.869118442401298	0.9883720930232558
111_O-39	11.0	11.0	3.310813622394219	0.8922222222222222	0.9833333333333333
112_O-39	11.5	10.0	2.624568342958388	0.7789248843004628	0.9433962264150944
113_O-39	11.0	11.0	3.2748336902074184	0.8839111111111111	1.0
114_O-39	11.0	11.0	3.2110228830458483	0.8784	0.98
115_O-39	8.0	8.0	2.6101143274987684	0.8085612366230678	0.9827586206896551
116_O-39	11.5	11.0	3.1805459540273744	0.8732638888888888	0.9583333333333334
117_O-39	10.0	10.0	3.1016417331025914	0.8709375	1.0
118_O-39	11.0	11.0	3.3676284754154118	0.8977777777777778	1.0
119_O-39	11.0	11.0	3.1446031118612714	0.8696586938994895	0.9836065573770492
11_O-39	10.0	10.0	3.1080119507161843	0.870748299319728	1.0
120_O-39	10.0	10.0	3.119507766524555	0.8728373702422145	1.0
121_O-39	10.0	10.0	3.1146969052745535	0.8663494809688581	1.0
122_O-39	10.0	10.0	2.854287713850844	0.8276135687363618	1.0
123_O-39	9.0	9.0	2.903974334995377	0.8418314255983351	1.0
124_O-39	11.0	11.0	3.205421834965999	0.8779675135360266	0.9795918367346939
125_O-39	10.0	10.0	3.1841021425665508	0.8788107835726884	1.0
126_O-39	11.0	11.0	3.1154396167353133	0.8586685653257387	0.9811320754716981
127_O-39	11.0	11.0	3.2714452464935717	0.8857206504789485	1.0
128_O-39	9.0	9.0	2.915718625678518	0.8521449396084965	0.9795918367346939
129_O-39	9.0	9.0	3.036783994242529	0.8678993094230341	1.0
12_O-39	11.0	11.0	3.196949127477516	0.8734211233539371	0.9836065573770492
130_O-39	11.0	11.0	3.217844092657393	0.8796471329552615	0.9855072463768116
131_O-39	10.0	10.0	3.0971728539924865	0.87	0.9875
132_O-39	9.0	9.0	3.048467254327241	0.8698649813272048	1.0
133_O-39	11.0	11.0	3.2387034116067914	0.8792924037460979	1.0
134_O-39	10.0	10.0	3.090507178899451	0.8677685950413223	1.0
135_O-39	10.0	10.0	3.096604630336916	0.8641195058891122	1.0
136_O-39	11.0	11.0	3.256408792381986	0.8834375	1.0
137_O-39	11.0	11.0	3.1634621850138114	0.8720856962822936	0.9855072463768116
138_O-39	11.0	11.0	3.1765392380015576	0.8716528162511542	0.9824561403508771
139_O-39	10.0	10.0	3.1787806768070497	0.8786159169550173	1.0
13_O-39	11.0	11.0	3.1719794864783735	0.8694119532126261	1.0
140_O-39	10.0	10.0	2.943732802777085	0.8470507544581619	0.9814814814814815
141_O-39	10.0	10.0	3.1824143474212887	0.8807813846595806	1.0
142_O-39	10.0	10.0	3.0184389243234526	0.853798849434636	1.0
143_O-39	8.0	8.0	2.7993189841394925	0.83984375	1.0
144_O-39	11.333333333333334	11.0	3.1226536729574965	0.871756109851348	0.9682539682539683
145_O-39	10.5	10.0	2.965427479939106	0.8492530556813038	0.9574468085106383
146_O-39	11.333333333333334	11.0	3.1714157579936733	0.8691650230111768	0.9487179487179487
147_O-39	11.0	11.0	3.280884853735352	0.8863964108315975	1.0
148_O-39	10.0	10.0	3.147389810251449	0.8738025822573927	1.0
149_O-39	9.0	9.0	3.0373261452560083	0.86875	1.0
14_O-39	11.0	11.0	3.1304708220197957	0.864883401920439	1.0
150_O-39	11.0	11.0	3.3331872234329674	0.89375	1.0
151_O-39	11.5	11.0	3.1209132974675167	0.8675667911519678	0.9661016949152542
152_O-39	11.0	11.0	3.208291831166107	0.8739956172388604	1.0
153_O-39	10.0	10.0	3.1054481770523465	0.867044738500315	1.0
154_O-39	10.0	10.0	3.090140194811035	0.8686365254538981	0.9811320754716981
155_O-39	10.0	10.0	3.1937352421489758	0.88035360463344	1.0
156_O-39	10.0	10.0	3.12620520220695	0.8714792899408283	1.0
157_O-39	10.0	10.0	2.924675387318204	0.8406658739595719	0.9827586206896551
158_O-39	10.0	10.0	3.132911774158201	0.8728888888888888	1.0
159_O-39	11.0	11.0	3.0182294377451795	0.8445675592489997	1.0
15_O-39	10.0	10.0	3.1652331444786665	0.8766909469302809	1.0
160_O-39	10.0	10.0	2.990112226173312	0.8532778355879292	0.9838709677419355
161_O-39	11.0	11.0	3.220323445587542	0.8745393366447685	1.0
162_O-39	10.0	10.0	2.9640556441659145	0.8480350818013156	0.987012987012987
163_O-39	11.0	11.0	3.1640862428445637	0.86420395421436	0.9838709677419355
