	chao1	observed_otus	shannon	simpson	goods_coverage
1000_OMC-446	8.333333333333334	8.0	2.8325608750566906	0.8480725623582767	0.9047619047619048
100_OMC-446	7.0	7.0	2.6606732334168424	0.8299319727891157	0.9523809523809523
101_OMC-446	9.75	9.0	3.010570934268484	0.8642659279778393	0.8421052631578947
102_OMC-446	8.333333333333334	8.0	2.75707541331394	0.8317580340264651	0.9130434782608696
103_OMC-446	8.0	8.0	2.7966138511441443	0.8344671201814059	0.9523809523809523
104_OMC-446	7.333333333333333	7.0	2.557727778739319	0.8024691358024691	0.8888888888888888
105_OMC-446	7.0	7.0	2.6659573209491745	0.83	0.95
106_OMC-446	8.2	8.0	2.7199643047423914	0.8208616780045352	0.9047619047619048
107_OMC-446	9.5	8.0	2.724719803319052	0.8253968253968255	0.8571428571428572
108_OMC-446	6.333333333333333	6.0	2.411602217974672	0.7928994082840236	0.8461538461538461
109_OMC-446	7.0	7.0	2.6542553132150286	0.8235294117647058	0.9411764705882353
10_OMC-446	8.333333333333334	8.0	2.865576855207249	0.8531855955678671	0.8947368421052632
110_OMC-446	8.5	8.0	2.83854644739349	0.8480725623582767	0.9047619047619048
111_OMC-446	8.0	8.0	2.8918519463822396	0.8571428571428572	0.9523809523809523
112_OMC-446	7.0	7.0	2.703701696057348	0.835	1.0
113_OMC-446	9.0	9.0	3.0837651410695517	0.8760330578512396	0.9545454545454546
114_OMC-446	9.5	8.0	2.784183719779189	0.84	0.85
115_OMC-446	8.25	8.0	2.8219280948873626	0.845	0.9
116_OMC-446	8.333333333333334	8.0	2.784010874644601	0.8344671201814059	0.9047619047619048
117_OMC-446	7.0	7.0	2.675595777605311	0.8310249307479225	0.9473684210526316
118_OMC-446	5.0	5.0	2.25	0.78125	1.0
119_OMC-446	7.5	7.0	2.6100635408770727	0.8199445983379501	0.8947368421052632
11_OMC-446	9.0	9.0	3.0294520440309136	0.8657844990548205	0.9565217391304348
120_OMC-446	8.0	7.0	2.6464393446710157	0.83	0.9
121_OMC-446	7.0	7.0	2.589518302689536	0.8088642659279779	0.9473684210526316
122_OMC-446	8.5	7.0	2.498077546623641	0.7889273356401384	0.8235294117647058
123_OMC-446	6.0	6.0	2.561848239589024	0.8279773156899811	1.0
124_OMC-446	8.0	8.0	2.8630945514207635	0.8512396694214877	0.9545454545454546
125_OMC-446	6.0	6.0	2.5306016985440762	0.8199445983379501	1.0
126_OMC-446	8.75	8.0	2.827819531114783	0.84375	0.8125
127_OMC-446	8.5	8.0	2.799007754410897	0.8388429752066116	0.9090909090909091
128_OMC-446	8.0	8.0	2.9151959937952427	0.8616780045351474	0.9523809523809523
129_OMC-446	8.5	7.0	2.4885548621928453	0.7901234567901234	0.8333333333333334
12_OMC-446	7.0	7.0	2.6159835655819164	0.8204158790170133	0.9565217391304348
130_OMC-446	8.166666666666666	8.0	2.875	0.8515625	0.875
131_OMC-446	8.25	8.0	2.8037016960573484	0.84	0.9
132_OMC-446	8.25	8.0	2.760666827231598	0.8299319727891157	0.9047619047619048
133_OMC-446	8.5	8.0	2.8559049224696933	0.8526077097505669	0.9047619047619048
134_OMC-446	7.0	7.0	2.6294817080809567	0.8208616780045352	0.9523809523809523
135_OMC-446	7.0	7.0	2.6659573209491745	0.83	0.95
136_OMC-446	8.25	8.0	2.791858352567483	0.8390022675736961	0.9047619047619048
137_OMC-446	6.0	6.0	2.5048003829823355	0.814404432132964	1.0
138_OMC-446	9.5	8.0	2.7385528535787333	0.8299319727891157	0.8571428571428572
139_OMC-446	7.0	7.0	2.6947814605842733	0.8365650969529086	0.9473684210526316
13_OMC-446	7.0	7.0	2.6659573209491745	0.83	0.95
140_OMC-446	7.0	7.0	2.674460868536108	0.831758034026465	0.9565217391304348
141_OMC-446	6.0	6.0	2.5175199783432034	0.8166351606805293	1.0
142_OMC-446	9.5	8.0	2.80004461847901	0.8421052631578947	0.8421052631578947
143_OMC-446	9.2	9.0	2.975316718038021	0.8582230623818525	0.9130434782608696
