	chao1	observed_otus	shannon	simpson	goods_coverage
1000_H-193	1.0	1.0	-0.0	0.0	1.0
100_H-193	1.0	1.0	-0.0	0.0	1.0
101_H-193	1.0	1.0	-0.0	0.0	1.0
102_H-193	1.0	1.0	-0.0	0.0	1.0
103_H-193	0.0	0.0	nan	nan	nan
104_H-193	1.0	1.0	-0.0	0.0	1.0
105_H-193	0.0	0.0	nan	nan	nan
106_H-193	1.0	1.0	-0.0	0.0	1.0
107_H-193	0.0	0.0	nan	nan	nan
108_H-193	1.0	1.0	-0.0	0.0	1.0
109_H-193	1.0	1.0	-0.0	0.0	1.0
10_H-193	1.0	1.0	-0.0	0.0	1.0
110_H-193	1.0	1.0	-0.0	0.0	1.0
111_H-193	1.0	1.0	-0.0	0.0	0.0
112_H-193	1.0	1.0	-0.0	0.0	0.0
113_H-193	0.0	0.0	nan	nan	nan
114_H-193	0.0	0.0	nan	nan	nan
115_H-193	1.0	1.0	-0.0	0.0	1.0
116_H-193	1.0	1.0	-0.0	0.0	0.0
117_H-193	1.0	1.0	-0.0	0.0	1.0
118_H-193	1.0	1.0	-0.0	0.0	1.0
119_H-193	1.0	1.0	-0.0	0.0	1.0
11_H-193	1.0	1.0	-0.0	0.0	1.0
120_H-193	1.0	1.0	-0.0	0.0	1.0
121_H-193	1.0	1.0	-0.0	0.0	1.0
122_H-193	0.0	0.0	nan	nan	nan
123_H-193	1.0	1.0	-0.0	0.0	1.0
124_H-193	1.0	1.0	-0.0	0.0	1.0
125_H-193	0.0	0.0	nan	nan	nan
126_H-193	1.0	1.0	-0.0	0.0	1.0
127_H-193	0.0	0.0	nan	nan	nan
128_H-193	1.0	1.0	-0.0	0.0	0.0
129_H-193	1.0	1.0	-0.0	0.0	0.0
12_H-193	1.0	1.0	-0.0	0.0	1.0
130_H-193	1.0	1.0	-0.0	0.0	1.0
131_H-193	0.0	0.0	nan	nan	nan
132_H-193	1.0	1.0	-0.0	0.0	1.0
133_H-193	1.0	1.0	-0.0	0.0	1.0
134_H-193	1.0	1.0	-0.0	0.0	1.0
135_H-193	1.0	1.0	-0.0	0.0	0.0
136_H-193	1.0	1.0	-0.0	0.0	1.0
137_H-193	1.0	1.0	-0.0	0.0	1.0
138_H-193	1.0	1.0	-0.0	0.0	1.0
139_H-193	1.0	1.0	-0.0	0.0	1.0
13_H-193	0.0	0.0	nan	nan	nan
140_H-193	1.0	1.0	-0.0	0.0	0.0
141_H-193	0.0	0.0	nan	nan	nan
142_H-193	1.0	1.0	-0.0	0.0	1.0
143_H-193	1.0	1.0	-0.0	0.0	0.0
144_H-193	0.0	0.0	nan	nan	nan
145_H-193	0.0	0.0	nan	nan	nan
146_H-193	0.0	0.0	nan	nan	nan
147_H-193	1.0	1.0	-0.0	0.0	1.0
148_H-193	1.0	1.0	-0.0	0.0	1.0
149_H-193	1.0	1.0	-0.0	0.0	1.0
14_H-193	1.0	1.0	-0.0	0.0	1.0
150_H-193	1.0	1.0	-0.0	0.0	1.0
151_H-193	1.0	1.0	-0.0	0.0	1.0
152_H-193	1.0	1.0	-0.0	0.0	1.0
153_H-193	0.0	0.0	nan	nan	nan
154_H-193	1.0	1.0	-0.0	0.0	1.0
155_H-193	1.0	1.0	-0.0	0.0	1.0
156_H-193	0.0	0.0	nan	nan	nan
157_H-193	1.0	1.0	-0.0	0.0	1.0
158_H-193	1.0	1.0	-0.0	0.0	0.0
159_H-193	1.0	1.0	-0.0	0.0	1.0
15_H-193	1.0	1.0	-0.0	0.0	1.0
160_H-193	1.0	1.0	-0.0	0.0	1.0
161_H-193	1.0	1.0	-0.0	0.0	1.0
162_H-193	1.0	1.0	-0.0	0.0	1.0
163_H-193	1.0	1.0	-0.0	0.0	1.0
164_H-193	0.0	0.0	nan	nan	nan
165_H-193	1.0	1.0	-0.0	0.0	1.0
166_H-193	1.0	1.0	-0.0	0.0	1.0
167_H-193	1.0	1.0	-0.0	0.0	1.0
168_H-193	1.0	1.0	-0.0	0.0	1.0
169_H-193	1.0	1.0	-0.0	0.0	1.0
16_H-193	1.0	1.0	-0.0	0.0	1.0
170_H-193	1.0	1.0	-0.0	0.0	1.0
171_H-193	1.0	1.0	-0.0	0.0	1.0
172_H-193	1.0	1.0	-0.0	0.0	0.0
173_H-193	0.0	0.0	nan	nan	nan
174_H-193	1.0	1.0	-0.0	0.0	1.0
175_H-193	1.0	1.0	-0.0	0.0	0.0
176_H-193	0.0	0.0	nan	nan	nan
177_H-193	0.0	0.0	nan	nan	nan
178_H-193	1.0	1.0	-0.0	0.0	1.0
179_H-193	1.0	1.0	-0.0	0.0	1.0
17_H-193	1.0	1.0	-0.0	0.0	1.0
180_H-193	1.0	1.0	-0.0	0.0	0.0
181_H-193	1.0	1.0	-0.0	0.0	1.0
182_H-193	0.0	0.0	nan	nan	nan
183_H-193	1.0	1.0	-0.0	0.0	1.0
184_H-193	0.0	0.0	nan	nan	nan
185_H-193	1.0	1.0	-0.0	0.0	1.0
186_H-193	1.0	1.0	-0.0	0.0	1.0
187_H-193	1.0	1.0	-0.0	0.0	1.0
188_H-193	1.0	1.0	-0.0	0.0	1.0
189_H-193	1.0	1.0	-0.0	0.0	0.0
18_H-193	0.0	0.0	nan	nan	nan
190_H-193	1.0	1.0	-0.0	0.0	0.0
191_H-193	1.0	1.0	-0.0	0.0	1.0
192_H-193	1.0	1.0	-0.0	0.0	1.0
193_H-193	0.0	0.0	nan	nan	nan
194_H-193	0.0	0.0	nan	nan	nan
195_H-193	1.0	1.0	-0.0	0.0	1.0
196_H-193	1.0	1.0	-0.0	0.0	1.0
197_H-193	1.0	1.0	-0.0	0.0	1.0
198_H-193	0.0	0.0	nan	nan	nan
199_H-193	1.0	1.0	-0.0	0.0	1.0
19_H-193	1.0	1.0	-0.0	0.0	1.0
1_H-193	1.0	1.0	-0.0	0.0	1.0
200_H-193	0.0	0.0	nan	nan	nan
201_H-193	0.0	0.0	nan	nan	nan
202_H-193	1.0	1.0	-0.0	0.0	1.0
203_H-193	0.0	0.0	nan	nan	nan
204_H-193	0.0	0.0	nan	nan	nan
205_H-193	0.0	0.0	nan	nan	nan
206_H-193	0.0	0.0	nan	nan	nan
207_H-193	0.0	0.0	nan	nan	nan
208_H-193	1.0	1.0	-0.0	0.0	1.0
209_H-193	0.0	0.0	nan	nan	nan
20_H-193	0.0	0.0	nan	nan	nan
210_H-193	1.0	1.0	-0.0	0.0	1.0
211_H-193	1.0	1.0	-0.0	0.0	1.0
212_H-193	1.0	1.0	-0.0	0.0	1.0
213_H-193	0.0	0.0	nan	nan	nan
214_H-193	0.0	0.0	nan	nan	nan
215_H-193	1.0	1.0	-0.0	0.0	1.0
216_H-193	0.0	0.0	nan	nan	nan
217_H-193	1.0	1.0	-0.0	0.0	0.0
218_H-193	1.0	1.0	-0.0	0.0	1.0
219_H-193	1.0	1.0	-0.0	0.0	0.0
21_H-193	0.0	0.0	nan	nan	nan
220_H-193	0.0	0.0	nan	nan	nan
221_H-193	1.0	1.0	-0.0	0.0	1.0
222_H-193	1.0	1.0	-0.0	0.0	1.0
223_H-193	0.0	0.0	nan	nan	nan
224_H-193	0.0	0.0	nan	nan	nan
225_H-193	0.0	0.0	nan	nan	nan
226_H-193	1.0	1.0	-0.0	0.0	1.0
227_H-193	1.0	1.0	-0.0	0.0	1.0
228_H-193	1.0	1.0	-0.0	0.0	0.0
229_H-193	1.0	1.0	-0.0	0.0	0.0
22_H-193	0.0	0.0	nan	nan	nan
230_H-193	1.0	1.0	-0.0	0.0	1.0
231_H-193	1.0	1.0	-0.0	0.0	1.0
232_H-193	1.0	1.0	-0.0	0.0	1.0
233_H-193	0.0	0.0	nan	nan	nan
234_H-193	1.0	1.0	-0.0	0.0	1.0
235_H-193	0.0	0.0	nan	nan	nan
236_H-193	0.0	0.0	nan	nan	nan
237_H-193	1.0	1.0	-0.0	0.0	1.0
238_H-193	1.0	1.0	-0.0	0.0	1.0
239_H-193	1.0	1.0	-0.0	0.0	1.0
23_H-193	1.0	1.0	-0.0	0.0	1.0
240_H-193	1.0	1.0	-0.0	0.0	1.0
241_H-193	1.0	1.0	-0.0	0.0	0.0
242_H-193	1.0	1.0	-0.0	0.0	1.0
243_H-193	0.0	0.0	nan	nan	nan
244_H-193	1.0	1.0	-0.0	0.0	1.0
245_H-193	0.0	0.0	nan	nan	nan
246_H-193	0.0	0.0	nan	nan	nan
247_H-193	0.0	0.0	nan	nan	nan
248_H-193	1.0	1.0	-0.0	0.0	1.0
249_H-193	1.0	1.0	-0.0	0.0	1.0
