	chao1	observed_otus	shannon	simpson	goods_coverage
1000_O-434	2.0	2.0	0.9774178175281716	0.4844290657439446	1.0
100_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
101_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
102_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
103_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
104_O-434	2.0	2.0	1.0	0.5	1.0
105_O-434	2.0	2.0	0.9774178175281716	0.4844290657439446	1.0
106_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
107_O-434	2.0	2.0	0.954434002924965	0.46875	1.0
108_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
109_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
10_O-434	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
110_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
111_O-434	2.0	2.0	0.8812908992306927	0.42000000000000004	1.0
112_O-434	2.0	2.0	0.7642045065086203	0.345679012345679	1.0
113_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
114_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
115_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
116_O-434	2.0	2.0	1.0	0.5	1.0
117_O-434	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
118_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
119_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
11_O-434	2.0	2.0	1.0	0.5	1.0
120_O-434	2.0	2.0	0.954434002924965	0.46875	1.0
121_O-434	2.0	2.0	0.8112781244591328	0.375	1.0
122_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
123_O-434	1.0	1.0	-0.0	0.0	1.0
124_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
125_O-434	2.0	2.0	0.7793498372920851	0.3550295857988165	1.0
126_O-434	2.0	2.0	1.0	0.5	1.0
127_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
128_O-434	2.0	2.0	0.8960382325345574	0.4296875	1.0
129_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
12_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
130_O-434	2.0	2.0	0.8453509366224364	0.39669421487603307	1.0
131_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
132_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
133_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
134_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
135_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
136_O-434	2.0	2.0	1.0	0.5	1.0
137_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
138_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
139_O-434	2.0	2.0	1.0	0.5	1.0
13_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
140_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
141_O-434	2.0	2.0	0.9940302114769566	0.49586776859504145	1.0
142_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
143_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
144_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
145_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
146_O-434	1.0	1.0	-0.0	0.0	1.0
147_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
148_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
149_O-434	2.0	2.0	1.0	0.5	1.0
14_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
150_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
151_O-434	2.0	2.0	1.0	0.5	1.0
152_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
153_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
154_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
155_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
156_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
157_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
158_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
159_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
15_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
160_O-434	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
161_O-434	2.0	2.0	0.8112781244591328	0.375	1.0
162_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
163_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
164_O-434	2.0	2.0	0.9366673818775625	0.45674740484429055	1.0
165_O-434	2.0	2.0	0.7219280948873623	0.31999999999999984	1.0
166_O-434	2.0	2.0	0.7642045065086203	0.345679012345679	1.0
167_O-434	2.0	2.0	1.0	0.5	1.0
168_O-434	2.0	2.0	0.8960382325345574	0.4296875	1.0
169_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
16_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
170_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
171_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
172_O-434	2.0	2.0	0.8739810481273579	0.4152249134948096	1.0
173_O-434	2.0	2.0	0.8812908992306927	0.42000000000000004	1.0
174_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
175_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
176_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
177_O-434	2.0	2.0	0.9940302114769566	0.49586776859504145	1.0
178_O-434	2.0	2.0	0.9980008838722995	0.4986149584487536	1.0
179_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
17_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
180_O-434	2.0	2.0	0.8112781244591328	0.375	1.0
181_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
182_O-434	2.0	2.0	0.9940302114769566	0.49586776859504145	1.0
183_O-434	2.0	2.0	1.0	0.5	1.0
184_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
185_O-434	2.0	2.0	1.0	0.5	1.0
186_O-434	2.0	2.0	1.0	0.5	1.0
187_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
188_O-434	2.0	2.0	0.8366407419411673	0.3911111111111112	1.0
189_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
18_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
190_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
191_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
192_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
193_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
194_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
195_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
196_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
197_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
198_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
199_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
19_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
1_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
200_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
201_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
202_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
203_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
204_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
205_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
206_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
207_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
208_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
209_O-434	2.0	2.0	1.0	0.5	1.0
20_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
210_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
211_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
212_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
213_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
214_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
215_O-434	2.0	2.0	0.954434002924965	0.46875	1.0
216_O-434	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
217_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
218_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
219_O-434	2.0	2.0	1.0	0.5	1.0
21_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
220_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
221_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
222_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
223_O-434	2.0	2.0	1.0	0.5	1.0
224_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
225_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
226_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
227_O-434	2.0	2.0	1.0	0.5	1.0
228_O-434	2.0	2.0	1.0	0.5	1.0
229_O-434	2.0	2.0	1.0	0.5	1.0
22_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
230_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
231_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
232_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
233_O-434	2.0	2.0	0.9940302114769566	0.49586776859504145	1.0
234_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
235_O-434	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
236_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
237_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
238_O-434	2.0	2.0	0.964078764808229	0.47530864197530853	1.0
239_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
23_O-434	2.0	2.0	0.8112781244591328	0.375	1.0
240_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
241_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
242_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
243_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
244_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
245_O-434	2.0	2.0	0.9980008838722995	0.4986149584487536	1.0
246_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
247_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
248_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
249_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
24_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
250_O-434	2.0	2.0	0.8366407419411673	0.3911111111111112	1.0
251_O-434	2.0	2.0	1.0	0.5	1.0
252_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
253_O-434	2.0	2.0	1.0	0.5	1.0
254_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
255_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
256_O-434	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
257_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
258_O-434	2.0	2.0	0.9980008838722995	0.4986149584487536	1.0
259_O-434	2.0	2.0	0.8812908992306927	0.42000000000000004	1.0
25_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
260_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
261_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
262_O-434	2.0	2.0	0.8904916402194913	0.42603550295857995	1.0
263_O-434	2.0	2.0	0.8366407419411673	0.3911111111111112	1.0
264_O-434	2.0	2.0	1.0	0.5	1.0
265_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
266_O-434	2.0	2.0	0.8453509366224364	0.39669421487603307	1.0
267_O-434	2.0	2.0	1.0	0.5	1.0
268_O-434	2.0	2.0	0.8631205685666311	0.40816326530612246	1.0
269_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
26_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
270_O-434	2.0	2.0	0.954434002924965	0.46875	1.0
271_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
272_O-434	2.0	2.0	0.9940302114769566	0.49586776859504145	1.0
273_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
274_O-434	2.0	2.0	1.0	0.5	1.0
275_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
276_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
277_O-434	2.0	2.0	0.8453509366224364	0.39669421487603307	1.0
278_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
279_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
27_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
280_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
281_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
282_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
283_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
284_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
285_O-434	2.0	2.0	0.9774178175281716	0.4844290657439446	1.0
286_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
287_O-434	2.0	2.0	1.0	0.5	1.0
288_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
289_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
28_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
290_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
291_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
292_O-434	2.0	2.0	1.0	0.5	1.0
293_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
294_O-434	2.0	2.0	0.8366407419411673	0.3911111111111112	1.0
295_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
296_O-434	2.0	2.0	1.0	0.5	1.0
297_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
298_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
299_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
29_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
2_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
300_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
301_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
302_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
303_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
304_O-434	2.0	2.0	0.961236604722876	0.47337278106508873	1.0
305_O-434	2.0	2.0	1.0	0.5	1.0
306_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
307_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
308_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
309_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
30_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
310_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
311_O-434	2.0	2.0	1.0	0.5	1.0
312_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
313_O-434	2.0	2.0	0.9975025463691153	0.4982698961937716	1.0
314_O-434	2.0	2.0	0.9182958340544894	0.4444444444444444	1.0
315_O-434	2.0	2.0	0.9967916319816367	0.49777777777777776	1.0
316_O-434	1.0	1.0	-0.0	0.0	1.0
317_O-434	2.0	2.0	0.6193821946787638	0.2603550295857988	1.0
318_O-434	2.0	2.0	0.8812908992306927	0.42000000000000004	1.0
319_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
31_O-434	2.0	2.0	0.8453509366224364	0.39669421487603307	1.0
320_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
321_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
322_O-434	2.0	2.0	1.0	0.5	1.0
323_O-434	2.0	2.0	1.0	0.5	1.0
324_O-434	2.0	2.0	1.0	0.5	1.0
325_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
326_O-434	2.0	2.0	1.0	0.5	1.0
327_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
328_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
329_O-434	2.0	2.0	0.954434002924965	0.46875	1.0
32_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
330_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
331_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
332_O-434	2.0	2.0	1.0	0.5	1.0
333_O-434	2.0	2.0	0.9819407868640977	0.48753462603878117	1.0
334_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
335_O-434	2.0	2.0	0.9456603046006401	0.4628099173553719	1.0
336_O-434	2.0	2.0	0.9910760598382222	0.49382716049382713	1.0
337_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
338_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
339_O-434	2.0	2.0	0.9886994082884974	0.4921875	1.0
33_O-434	2.0	2.0	0.9852281360342515	0.48979591836734704	1.0
340_O-434	2.0	2.0	0.954434002924965	0.46875	1.0
341_O-434	2.0	2.0	1.0	0.5	1.0
342_O-434	2.0	2.0	0.940285958670631	0.4591836734693877	1.0
343_O-434	2.0	2.0	1.0	0.5	1.0
344_O-434	2.0	2.0	0.6840384356390417	0.2975206611570247	1.0
345_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
346_O-434	2.0	2.0	0.9957274520849256	0.4970414201183432	1.0
347_O-434	2.0	2.0	0.9709505944546688	0.48	1.0
348_O-434	2.0	2.0	0.9798687566511527	0.48611111111111105	1.0
349_O-434	2.0	2.0	0.9940302114769566	0.49586776859504145	1.0
