	chao1	observed_otus	shannon	simpson	goods_coverage
1000_OMC-446	1.0	1.0	-0.0	0.0	1.0
100_OMC-446	1.0	1.0	-0.0	0.0	1.0
101_OMC-446	1.0	1.0	-0.0	0.0	1.0
102_OMC-446	1.0	1.0	-0.0	0.0	1.0
103_OMC-446	1.0	1.0	-0.0	0.0	1.0
104_OMC-446	1.0	1.0	-0.0	0.0	1.0
105_OMC-446	1.0	1.0	-0.0	0.0	1.0
106_OMC-446	1.0	1.0	-0.0	0.0	1.0
107_OMC-446	1.0	1.0	-0.0	0.0	1.0
108_OMC-446	1.0	1.0	-0.0	0.0	1.0
109_OMC-446	1.0	1.0	-0.0	0.0	1.0
10_OMC-446	1.0	1.0	-0.0	0.0	1.0
110_OMC-446	1.0	1.0	-0.0	0.0	1.0
111_OMC-446	1.0	1.0	-0.0	0.0	1.0
112_OMC-446	1.0	1.0	-0.0	0.0	1.0
113_OMC-446	1.0	1.0	-0.0	0.0	1.0
114_OMC-446	1.0	1.0	-0.0	0.0	1.0
115_OMC-446	1.0	1.0	-0.0	0.0	1.0
116_OMC-446	1.0	1.0	-0.0	0.0	1.0
117_OMC-446	1.0	1.0	-0.0	0.0	1.0
118_OMC-446	1.0	1.0	-0.0	0.0	1.0
119_OMC-446	1.0	1.0	-0.0	0.0	1.0
11_OMC-446	1.0	1.0	-0.0	0.0	1.0
120_OMC-446	1.0	1.0	-0.0	0.0	1.0
121_OMC-446	1.0	1.0	-0.0	0.0	1.0
122_OMC-446	1.0	1.0	-0.0	0.0	1.0
123_OMC-446	1.0	1.0	-0.0	0.0	1.0
124_OMC-446	1.0	1.0	-0.0	0.0	1.0
125_OMC-446	1.0	1.0	-0.0	0.0	1.0
126_OMC-446	1.0	1.0	-0.0	0.0	1.0
127_OMC-446	1.0	1.0	-0.0	0.0	1.0
128_OMC-446	1.0	1.0	-0.0	0.0	1.0
129_OMC-446	1.0	1.0	-0.0	0.0	1.0
